№ п/п;"№ Відділення ТОВ ""ЕПС""";Область;Район в обл.;Індекс;Тип населеного пункту;Населений пункт;Район в місті;Тип вулиці;Адреса;Номер будинку;Дата признчення керівника;модель РРО;Заводський № РРО;2;koatu1;koatu2
282;1330020;;;4201;м.;Київ;Оболонський;вулиця;Петра Калнишевського;2;;;;04201, м.Київ, Оболонський район, ВУЛИЦЯ ПЕТРА КАЛНИШЕВСЬКОГО, будинок 2;8038000000;UA80000000000551439
283;1330021;;;03039;м.;Київ;Голосіївський;вулиця;Голосіївська;7;;;;03039, Київська обл., м.Київ, Голосіївський р-н.,  вул. Голосіївська, 7;8036100000;UA80000000000126643
284;1330022;;; 03194;м.;Київ;Святошинський;проспект;Леся Курбаса;15-А;;;;03194, м.Київ, Святошинський район, ПРОСПЕКТ ЛЕСЯ КУРБАСА, будинок 15-А;8038600000;UA80000000000875983
285;1330023;;; 03148;м.;Київ;Святошинський;проспект;Академіка Корольова;3;;;;03148, Київська обл., м.Київ, Святошинський р-н., проспект Академіка Корольова, 3;8038600000;UA80000000000875983
286;1330024;;; 01042;м.;Київ;Печерський;вулиця;Академіка Філатова;7;;;;01042, м.Київ, Печерський район, ВУЛИЦЯ АКАДЕМІКА ФІЛАТОВА, будинок 7;8038200000;UA80000000000624772
287;1330025;;; 03062;м.;Київ;Святошинський;вулиця;Чистяківська;30;;;;03062, м.Київ, Святошинський район, ВУЛИЦЯ ЧИСТЯКІВСЬКА, будинок 30;8038600000;UA80000000000875983
288;1330026;;; 04201;м.;Київ;Оболонський;вулиця;Бережанська;22;;;;04201, м.Київ, Оболонський район, ВУЛИЦЯ БЕРЕЖАНСЬКА, будинок 22;8038000000;UA80000000000551439
289;1330027;;; 02097;м.;Київ;Деснянський;вулиця;Милославська;10-А;;;;02097, м.Київ, Деснянський район, ВУЛИЦЯ МИЛОСЛАВСЬКА, будинок 10-А;8036400000;UA80000000000336424
290;1330028;;; 02232;м.;Київ;Деснянський;проспект;Володимира Маяковського;75/2;;;;02232, м.Київ, Деснянський район, ПРОСПЕКТ ВОЛОДИМИРА МАЯКОВСЬКОГО, будинок 75/2;8036400000;UA80000000000336424
291;1330029;;; 03150;м.;Київ;Голосіївський;вулиця;Казимира Малевича;107;;;;03150, м.Київ, Голосіївський район, ВУЛИЦЯ КАЗИМИРА МАЛЕВИЧА, будинок 107;8036100000;UA80000000000126643
292;1330030;;; 03194;м.;Київ;Святошинський;бульвар;Кольцова;14-М;;;;03194, м.Київ, Святошинський район, БУЛЬВАР КОЛЬЦОВА, будинок 14-М;8038600000;UA80000000000875983
293;1330031;;;2218;м.;Київ;Дніпровський;вулиця;Стальського;23;;;;02218, м.Київ, Дніпровський район, ВУЛИЦЯ СТАЛЬСЬКОГО, будинок 23;8036600000;UA80000000000479391
294;1330032;Одеська;;65076;м.;Одеса;Малиновський;вулиця;Генерала Петрова;51;;;;65076, Одеська обл., місто Одеса, Малиновський район, ВУЛИЦЯ ГЕНЕРАЛА ПЕТРОВА, будинок 51;5110137300;UA51100270010275193
295;1330033;Львівська;;79071;м.;Львів;Личаківський;вулиця;Богдана Хмельницького;214;;;;79071, Львівська обл., місто Львів, Личаківський район, ВУЛИЦЯ БОГДАНА ХМЕЛЬНИЦЬКОГО, будинок 214;4610137200;UA46060250010364817
296;1330034;Львівська;;79052;м.;Львів;Залізничний;вулиця;Широка;87;;;;79052, Львівська обл., місто Львів, Залізничний район, ВУЛИЦЯ ШИРОКА, будинок 87;4610136300;UA46060250010259421
297;1330035;;; 03141;м.;Київ;Солом'янський;вулиця;Соломя'нська;40/4;;;;03141, м.Київ, Солом'янський район, ВУЛИЦЯ СОЛОМ'ЯНСЬКА, будинок 40/4;8038900000;UA80000000000980793
298;1330036;Львівська;;82106;м.;Дрогобич;;вулиця;Володимира Великого;7;;;;82106, Львівська обл., місто Дрогобич, ВУЛИЦЯ ВОЛОДИМИРА ВЕЛИКОГО, будинок 7;4610600000;UA46020030000019252
299;1330037;;; 03115;м.;Київ;Святошинський;проспект;Перемоги;87;;;;03115, м.Київ, Святошинський район, ПРОСПЕКТ ПЕРЕМОГИ, будинок 87;8038600000;UA80000000000875983
300;1330038;;;3126;м.;Київ;Оболонський;вулиця;Героїв Сталінграду;46;;;;03126, м.Київ, Оболонський район, ВУЛИЦЯ ГЕРОЇВ СТАЛІНГРАДУ, будинок 46;8038000000;UA80000000000551439
301;1330039;Харківська;;61001;м.;Харків;Слобідський;вулиця;Молочна;1;;;;61001, Харківська обл., місто Харків, Слобідський район, ВУЛИЦЯ МОЛОЧНА, будинок 1;6310136900;UA63120270010736370
302;1330040;Харківська;;61118;м.;Харків;Московський;проспект;Тракторобудівників;108;;;;61118, Харківська обл., місто Харків, Московський район, ПРОСПЕКТ ТРАКТОРОБУДІВНИКІВ, будинок 108;6310137500;UA63120270010315719
303;1330041;Харківська;;61144;м.;Харків;Московський;вулиця;Героїв Праці;15;;;;61144, Харківська обл., місто Харків, Московський район, ВУЛИЦЯ ГЕРОЇВ ПРАЦІ, будинок 15;6310137500;UA63120270010315719
304;1330042;Дніпропетровська;;49055;м.;Дніпро;Чечелівський;вулиця;Новокримська;3-А;;;;49055, Дніпропетровська обл., місто Дніпро, Чечелівський район, ВУЛИЦЯ НОВОКРИМСЬКА, будинок 3-А;1210137800;UA12020010010757287
305;1330043;Дніпропетровська;;49099;м.;Дніпро;Новокодацький;вулиця;Юрія Кондратюка;4;;;;49099, Дніпропетровська обл., місто Дніпро, Новокодацький район, ВУЛИЦЯ ЮРІЯ КОНДРАТЮКА, будинок 4;1210138100;UA12020010010350200
306;1330044;Дніпропетровська;;49000;м.;Дніпро;Шевченківський;вулиця;Європейська;18-А;;;;49000, Дніпропетровська обл., місто Дніпро, Шевченківський район, ВУЛИЦЯ ЄВРОПЕЙСЬКА, будинок 18-А;1210136600;UA12020010010816623
307;1330045;Дніпропетровська;;49106;м.;Дніпро;Соборний;бульвар;Слави;5;;;;49106, Дніпропетровська обл., місто Дніпро, Соборний район, БУЛЬВАР СЛАВИ, будинок 5;1210136900;UA12020010010512802
308;1330046;Київська;;8302;м.;Бориспіль;;вулиця;Володимира Момота;42/5;;;;08302, Київська обл., місто Бориспіль, ВУЛИЦЯ ВОЛОДИМИРА МОМОТА, будинок 42/5;3210500000;UA32040010000010116
309;1330047;Київська;Бородянський;7800;смт.;Бородянка;;вулиця;Центральна;343;;;;07800, Київська обл., Бородянський район, селище міського типу Бородянка, ВУЛИЦЯ ЦЕНТРАЛЬНА, будинок 343;3221055100;UA32080030000070006
310;1330048;Рівненська;;33003;м.;Рівне;;вулиця;Гагаріна;16;;;;33003, Рівненська обл., місто Рівне, ВУЛИЦЯ ГАГАРІНА, будинок 16;5610100000;UA56060470000086729
311;1330049;Рівненська;;33016;м.;Рівне;;вулиця;Романа Шухевича;12;;;;33016, Рівненська обл., місто Рівне, ВУЛИЦЯ РОМАНА ШУХЕВИЧА, будинок 12;5610100000;UA56060470000086729
312;1330050;Волинська;;43026;м.;Луцьк;;вулиця;Кравчука;23;;;;43026, Волинська обл., місто Луцьк, ВУЛИЦЯ КРАВЧУКА, будинок 23;0710100000;UA07080170000013585
313;1330051;Одеська;;65074;м.;Одеса;Малиновський;вулиця;Маршала Малиновського;33;;;;65074, Одеська обл., місто Одеса, Малиновський район, ВУЛИЦЯ МАРШАЛА МАЛИНОВСЬКОГО, будинок 33;5110137300;UA51100270010275193
314;1330052;Львівська;;81652;м.;Новий Розділ;Деснянський;вулиця;Василя Стуса;2-А;;;;81652, Львівська обл., місто Новий Розділ, ВУЛИЦЯ ВАСИЛЯ СТУСА , будинок 2-А;4610800000;UA46100150010069811
315;1330053;;; 02154;м.;Київ;Дніпровський;вулиця;Ентузіастів;7;;;;02154, м.Київ, Дніпровський район, ВУЛИЦЯ ЕНТУЗІАСТІВ, будинок 7;8036600000;UA80000000000479391
316;1330054;Київська;Києво-Святошинський;8133;м.;Вишневе;;вулиця;В'ячеслава Чорновола;46-Б;;;;08133, Київська обл., Києво-Святошинський район, місто Вишневе, ВУЛИЦЯ В'ЯЧЕСЛАВА ЧОРНОВОЛА, будинок 46-Б;3222410600;UA32080090000011038
317;1330055;;;4053;м.;Київ;Шевченківський;вулиця;Січових Стрільців;37/41;;;;04053, м.Київ, Шевченківський район, ВУЛИЦЯ СІЧОВИХ СТРІЛЬЦІВ, будинок 37/41;8039100000;UA80000000001078669
318;1330056;Київська;Києво-Святошинський;8132;м.;Вишневе;;вулиця;Святошинська;40;;;;08132, Київська обл., Києво-Святошинський район, місто Вишневе, ВУЛИЦЯ СВЯТОШИНСЬКА, будинок 40;3222410600;UA32080090000011038
319;1330057;;;4210;м.;Київ;Оболонський;вулиця;Малиновського;25;;;;04210, м.Київ, Оболонський район, ВУЛИЦЯ МАЛИНОВСЬКОГО, будинок 25;8038000000;UA80000000000551439
320;1330058;Черкаська;Христинівський;20001;м.;Христинівка;;вулиця;Шевченка;52;;;;20001, Черкаська обл., Христинівський р-н., м.Христинівка, вул.Шевченка, 52;7124610100;UA71060230000095772
321;1330059;;;2089;м.;Київ;Дніпровський;проспект;Броварський;51;;;;02089, м.Київ, Дніпровський район, ПРОСПЕКТ БРОВАРСЬКИЙ, будинок 51;8036600000;UA80000000000479391
322;1330060;;;04214;м.;Київ;Оболонський;вулиця;Північна;46;;;;04214, м.Київ, Оболонський район, ВУЛИЦЯ ПІВНІЧНА, будинок 46;8038000000;UA80000000000551439
323;1330061;;;3124;м.;Київ;Солом'янський;бульвар;Гавела Вацлава;29;;;;03124, м.Київ, Солом'янський район, БУЛЬВАР ВАЦЛАВА ГАВЕЛА, будинок 29;8038900000;UA80000000000980793
324;1330062;;;3126;м.;Київ;Солом'янський;вулиця;Гавела Вацлава;83;;;;03126, м.Київ, Солом'янський район, ВУЛИЦЯ ГАВЕЛА ВАЦЛАВА, будинок 83;8038900000;UA80000000000980793
325;1330063;Київська;Києво-Святошинський;8136;с.;Крюківщина;;вулиця;Жулянська;1-А;;;;08136, Київська обл., Києво-Святошинський район, село Крюківщина, ВУЛИЦЯ ЖУЛЯНСЬКА, будинок 1-А;3222484001;UA32080090020082865
326;1330064;Київська;;8600;м.;Васильків;;вулиця;Соборна;64/1;;;;08600, Київська обл., місто Васильків, ВУЛИЦЯ СОБОРНА, будинок 64/1;3210700000;UA32120030000030458
327;1330065;;; 03143;м.;Київ;Голосіївський;вулиця;Метрологічна;14-Б;;;;03143, м.Київ, Голосіївський район, ВУЛИЦЯ МЕТРОЛОГІЧНА, будинок 14-Б;8036100000;UA80000000000126643
328;1330066;Одеська;;65069;м.;Одеса;Суворовський;вулиця;Кримська;71;;;;65069, Одеська обл., місто Одеса, Суворовський район, ВУЛИЦЯ КРИМСЬКА, будинок 71;5110137600;UA51100270010413116
329;1330067;Одеська;;65111;м.;Одеса;Суворовський;вулиця;Генерала Бочарова;44;;;;65111, Одеська обл., місто Одеса, Суворовський район, ВУЛИЦЯ ГЕНЕРАЛА БОЧАРОВА, будинок 44;5110137600;UA51100270010413116
330;1330068;Одеська;;65111;м.;Одеса;Суворовський;вулиця;Генерала Бочарова;13-А;;;;65111, Одеська обл., місто Одеса, Суворовський район, ВУЛИЦЯ ГЕНЕРАЛА БОЧАРОВА, будинок 13-А;5110137600;UA51100270010413116
331;1330069;Тернопільська;;46023;м.;Тернопіль;;вулиця;15-го Квітня;5-А;;;;46023, Тернопільська обл., місто Тернопіль, ВУЛИЦЯ 15-ГО КВІТНЯ, будинок 5-А;6110100000;UA61040490000035010
332;1330070;;; 02096;м.;Київ;Дарницький;вулиця;Ялтинська;6;;;;02096, м.Київ, Дарницький район, ВУЛИЦЯ ЯЛТИНСЬКА, будинок 6;8036300000;UA80000000000210193
333;1330071;;; 04107;м.;Київ;Шевченківський;вулиця;Татарська;3/2;;;;04107, м.Київ, Шевченківський район, ВУЛИЦЯ ТАТАРСЬКА, будинок 3/2;8039100000;UA80000000001078669
334;1330072;;; 03134;м.;Київ;Святошинський;вулиця;Булгакова;11;;;;03134, м.Київ, Святошинський район, ВУЛИЦЯ БУЛГАКОВА, будинок 11;8038600000;UA80000000000875983
335;1330073;Київська;Васильківський;8631;смт.;Глеваха;;вулиця;Вокзальна;18-А;;;;08631, Київська обл., Васильківський район, селище міського типу Глеваха, ВУЛИЦЯ ВОКЗАЛЬНА, будинок 18-А;3221455300;UA32140070000012102
336;1330074;Чернігівська;Козелецький;17000;м.;Козелець;;вулиця;Соборності;53/1;;;;17000, Чернігівська обл., Козелецький район, селище міського типу Козелець, ВУЛИЦЯ СОБОРНОСТІ, будинок 53/1;7422055100;UA74100190000086457
337;1330075;;; 04073;м.;Київ;Оболонський;вулиця;Кирилівська;154;;;;04073, м.Київ, Оболонський район, ВУЛИЦЯ Кирилівська, будинок 154;8038000000;UA80000000000551439
338;1330076;;; 02125;м.;Київ;Дніпровський;вулиця;Петра Запорожця;28;;;;02125, м.Київ, Дніпровський район, ВУЛИЦЯ ПЕТРА ЗАПОРОЖЦЯ, будинок 28;8036600000;UA80000000000479391
339;1330077;Київська;Васильківський;8630;смт.;Глеваха;;вулиця;Грушевського;42;;;;08630, Київська обл., Васильківський район, селище міського типу Глеваха, ВУЛИЦЯ ГРУШЕВСЬКОГО, будинок 42;3221455300;UA32140070000012102
340;1330078;Херсонська;;73034;м.;Херсон;Суворовський;проспект;Ушакова;49;;;;73034, Херсонська обл., місто Херсон, Суворовський район, ПРОСПЕКТ УШАКОВА, будинок 49;6510136900;UA65100150010361097
341;1330079;Київська;;09117;м.;Біла Церква;;бульвар;Олександрійський;115;;;;09117, Київська обл., місто Біла Церква, бульвар Олександрійський, будинок 115;3210300000;UA32020010000093088
342;1330080;Закарпатська;;88018;м.;Ужгород;;вулиця;Генерала Свободи;9-Б;;;;88018, Закарпатська обл., місто Ужгород, ВУЛИЦЯ ГЕНЕРАЛА СВОБОДИ, будинок 9-Б;2110100000;UA21100230000083101
343;1330081;;;2091;м.;Київ;Дарницький;вулиця;Харківське шосе;168;;;;02091, м.Київ, Дарницький район, ВУЛИЦЯ ХАРКІВСЬКЕ ШОСЕ, будинок 168;8036300000;UA80000000000210193
344;1330082;Сумська;;40000;м.;Суми;Ковпаківський;вулиця;Кооперативна;1;;;;40000, Сумська обл., місто Суми, Ковпаківський район, ВУЛИЦЯ КООПЕРАТИВНА, будинок 1;5910136600;UA59080270010287243
345;1330083;Київська;;08606;с.;Васильків;;вулиця;Декабристів;151, корпус 3;;;;08606, Київська область, місто Васильків, вулиця Декабристів, будинок 151, корпус 3;3210700000;UA32120030000030458
346;1330084;Київська;Вишгородський;7363;с.;Хотянівка;;вулиця;Валова;2-В;;;;07363, Київська обл., Вишгородський район, село Хотянівка, ВУЛИЦЯ ВАЛОВА, будинок 2-В;3221888801;UA32100010030092497
347;1330085;Харківська;;61204;м.;Харків;Шевченківський;проспект;Перемоги;64;;;;61204, Харківська обл., місто Харків, Шевченківський район, ПРОСПЕКТ ПЕРЕМОГИ, будинок 64;6310136300;UA63120270010948820
348;1330086;Харківська;;61183;м.;Харків;Київський;вулиця;Дружби народів;279-А;;;;61183, Харківська обл., місто Харків, Київський район, ВУЛИЦЯ ДРУЖБИ НАРОДІВ, будинок 279-А;6310136600;UA63120270010216514
349;1330087;Харківська;;61096;м.;Харків;Слобідський;проспект;Героїв Сталінграду;171;;;;61096, Харківська обл., місто Харків, Слобідський район, ПРОСПЕКТ ГЕРОЇВ СТАЛІНГРАДУ, будинок 171;6310136900;UA63120270010736370
350;1330088;Дніпропетровська;;49018;м.;Дніпро;Новокодацький;вулиця;Метробудівська;19;;;;49018, Дніпропетровська обл., місто Дніпро, Новокодацький район, ВУЛИЦЯ МЕТРОБУДІВСЬКА, будинок 19;1210138100;UA12020010010350200
351;1330089;;; 02192;м.;Київ;Дніпровський;бульвар;Дарницький;8-А;;;;02192, м.Київ, Дніпровський район, БУЛЬВАР ДАРНИЦЬКИЙ, будинок 8-А;8036600000;UA80000000000479391
352;1330090;;; 04119;м.;Київ;Шевченківський;вулиця;Дорогожицька;2;;;;04119, м.Київ, Шевченківський район, ВУЛИЦЯ ДОРОГОЖИЦЬКА, будинок 2;8039100000;UA80000000001078669
353;1330091;;; 04123;м.;Київ;Подільський;вулиця;Западинська;15;;;;04123, м.Київ, Подільський район, ВУЛИЦЯ ЗАПАДИНСЬКА, будинок 15;8038500000;UA80000000000719633
354;1330092;;; 02094;м.;Київ;Деснянський;провулок;Карельський;3;;;;02094, м.Київ, Деснянський район, ПРОВУЛОК КАРЕЛЬСЬКИЙ, будинок 3;8036400000;UA80000000000336424
355;1330093;;;04210;м.;Київ;Оболонський;вулиця;Маршала Малиновського;34;;;;04210, м.Київ, Оболонський район, ВУЛИЦЯ МАРШАЛА МАЛИНОВСЬКОГО, будинок 34;8038000000;UA80000000000551439
356;1330094;;;04212;м.;Київ;Оболонський;вулиця;Маршала Малиновського;5;;;;04212, м.Київ, Оболонський район, ВУЛИЦЯ МАРШАЛА МАЛИНОВСЬКОГО, будинок 5;8038000000;UA80000000000551439
357;1330095;;; 02002;м.;Київ;Дніпровський;вулиця;Митрополита Андрея Шептицького;4;;;;02002, м.Київ, Дніпровський район, ВУЛИЦЯ МИТРОПОЛИТА АНДРЕЯ ШЕПТИЦЬКОГО, будинок 4;8036600000;UA80000000000479391
358;1330096;Чернігівська;;16600;м.;Ніжин;;вулиця;Шевченка;21-А;;;;16600, Чернігівська обл., м.Ніжин, вул. Шевченка, 21-А;7410400000;UA74040250000063494
359;1330097;Черкаська;;18007;м.;Черкаси;Придніпровський;вулиця;Надпільна;411;;;;18007, Черкаська обл., місто Черкаси, Придніпровський район, ВУЛИЦЯ НАДПІЛЬНА, будинок 411;7110136400;UA71080490010144486
360;1330098;Одеська;;65009;м.;Одеса;Київський;вулиця;ФОНТАНСЬКА ДОРОГА;17/19;;;;65009, Одеська обл., місто Одеса, Київський район, ВУЛИЦЯ ФОНТАНСЬКА ДОРОГА, будинок 17/19;5110136900;UA51100270010196805
361;1330099;Полтавська;;39631;м.;Кременчуг;Автозаводський;вулиця;Київська;66-Г;;;;39631, Полтавська обл., місто Кременчук, Автозаводський район, ВУЛИЦЯ КИЇВСЬКА, будинок 66-Г;5310436100;UA53020110010112104
362;1330100;Київська;Білоцерківський;9117;м.;Біла Церква;;вулиця;Героїв Небесної Сотні;2-А;;;;09117, Київська обл., місто Біла Церква, ВУЛИЦЯ ГЕРОЇВ НЕБЕСНОЇ СОТНІ, будинок 2-А;3210300000;UA32020010000093088
363;1330101;Київська;Таращанський;9502;м.;Тараща;;вулиця;Богдана Хмельницького;6;;;;09502, Київська обл., Таращанський район, місто Тараща, ВУЛИЦЯ БОГДАНА ХМЕЛЬНИЦЬКОГО, будинок 6;3224410100;UA32020190000084133
364;1330102;Київська;Бориспільський;8325;с.;Щасливе;;вулиця;Харківське Шосе;15;;;;08325, Київська обл., Бориспільський район, село Щасливе, ВУЛИЦЯ ХАРКІВСЬКЕ ШОСЕ, будинок 15;3220888001;UA32040130010022833
365;1330103;Київська;Броварський;7452;м.;Гоголів;;вулиця;Київська;167-Г;;;;07452, Київська обл., Броварський район, село Гоголів, ВУЛИЦЯ КИЇВСЬКА, будинок 167-Г;3221281601;UA32060070060012985
366;1330104;Київська;Броварський;7416;с.;Погреби;;вулиця;Соборна;2;;;;07416, Київська обл., Броварський район, село Погреби, ВУЛИЦЯ СОБОРНА, будинок 2;3221286401;UA32060090040088774
367;1330105;;;3131;м.;Київ;Голосіївський;вулиця;Цілинна;2-А;;;;03131, м.Київ, Голосіївський район, ВУЛИЦЯ ЦІЛИННА, будинок 2-А;8036100000;UA80000000000126643
368;1330106;Київська;Києво-Святошинський;8131;с.;Софіївська Борщагівка;;вулиця;Сагайдачного;20-А;;;;08131, Київська обл., Києво-Святошинський район, село Софіївська Борщагівка, ВУЛИЦЯ САГАЙДАЧНОГО, будинок 20-А;3222486201;UA32080050020065009
369;1330107;Київська;Вишгородський;7354;с.;Нові Петрівці;;вулиця;Свято-Покровська;222;;;;07354, Київська обл., Вишгородський район, село Нові Петрівці, ВУЛИЦЯ СВЯТО-ПОКРОВСЬКА, будинок 222;3221886001;UA32100070010044762
370;1330108;Київська;Броварський;7420;смт.;Калита;;вулиця;Миру;45;;;;07420, Київська обл., Броварський район, селище міського типу Калита, ВУЛИЦЯ МИРУ, будинок 45;3221255500;UA32060150000031409
371;1330109;Київська;;7100;м.;Славутич;;площа;Привокзальна;5;;;;07100, Київська обл., місто Славутич, ПЛОЩА ПРИВОКЗАЛЬНА, будинок 5;3211500000;UA32100130000093505
372;1330110;Чернігівська;Городнянський;15100;м.;Городня;;вулиця;Чернігівська;26-А;;;;15100, Чернігівська обл., Городнянський район, місто Городня, ВУЛИЦЯ ЧЕРНІГІВСЬКА, будинок 26-А;7421410100;UA74100050000019554
373;1330111;Чернігівська;Бахмацький;16500;м.;Бахмач;;вулиця;Ярослава Мудрого;24;;;;16500, Чернігівська обл., Бахмацький район, місто Бахмач, ВУЛИЦЯ ЯРОСЛАВА МУДРОГО, будинок 24;7420310100;UA74040030000093042
374;1330112;Рівненська;;33005;м.;Рівне;;вулиця;Теліги Олени;49;;;;33005, Рівненська обл., місто Рівне, ВУЛИЦЯ ТЕЛІГИ ОЛЕНИ, будинок 49;5610100000;UA56060470000086729
375;1330113;Львівська;;79071;м.;Львів;Залізничний;вулиця;Виговського;100;;;;79071, Львівська обл., місто Львів, Залізничний район, ВУЛИЦЯ ВИГОВСЬКОГО, будинок 100;4610136300;UA46060250010259421
376;1330114;Львівська;;81400;м.;Самбір;;вулиця;Валова;24/1;;;;81400, Львівська обл., місто Самбір, ВУЛИЦЯ ВАЛОВА, будинок 24/1;4610900000;UA46080130000077112
377;1330115;Львівська;;82402;м.;Стрий;;вулиця;Богдана Хмельницького;16;;;;82402, Львівська обл., місто Стрий, ВУЛИЦЯ БОГДАНА ХМЕЛЬНИЦЬКОГО, будинок 16;4611200000;UA46100230000047305
378;1330116;Хмельницька;Старокостянтинівський;31101;м.;Старокостянтинів;;вулиця;Миру;19/2;;;;31101, Хмельницька обл., місто Старокостянтинів, ВУЛИЦЯ МИРУ, будинок 19/2;6810800000;UA68040390000011141
379;1330117;Хмельницька;;32315;м.;Кам'янець-Подільський;;вулиця;Нігинське Шосе;41/1;;;;32315, Хмельницька обл., місто Кам'янець-Подільський, ВУЛИЦЯ НІГИНСЬКЕ ШОСЕ, будинок 41/1;6810400000;UA68020110000071202
380;1330118;Чернівецька;;58032;м.;Чернівці;;вулиця;Головна;265-А;;;;58032, Чернівецька обл., місто Чернівці, ВУЛИЦЯ ГОЛОВНА, будинок 265-А;7310100000;UA73060610000066784
381;1330119;Одеська;;65490;м.;Теплодар;;вулиця;Піонерна;1;;;;65490, Одеська обл., місто Теплодар, ВУЛИЦЯ ПІОНЕРНА, будинок 1;5111500000;UA51100310000010196
382;1330120;Миколаївська;;54037;м.;Миколаїв;Заводський;вулиця;Озерна;17-Г;;;;54037, Миколаївська обл., місто Миколаїв, Заводський район, ВУЛИЦЯ ОЗЕРНА, будинок 17-Г;4810136300;UA48060150010139573
383;1330121;Миколаївська;;54055;м.;Миколаїв;Центральний;вулиця;Чкалова;82;;;;54055, Миколаївська обл., місто Миколаїв, Центральний район, ВУЛИЦЯ ЧКАЛОВА, будинок 82;4810137200;UA48060150010443183
384;1330122;Дніпропетровська;;50086;м.;Кривий Ріг;Довгинцівський;;шосе  Дніпропетровське;4, приміщення 1;;;;50086, Дніпропетровська обл., м.Кривий Ріг, Довгинцівський р-н., шосе  Дніпропетровське, 4, приміщення 1;1211036400;UA12060170010145934
385;1330123;Херсонська;;73034;м.;Херсон;Суворовський;проспект;200-річчя Херсона;8;;;;73034, Херсонська обл., місто Херсон, Суворовський район, ПРОСПЕКТ 200-РІЧЧЯ ХЕРСОНА, будинок 8;6510136900;UA65100150010361097
386;1330124;Херсонська;;73003;м.;Херсон;Суворовський;вулиця;Потьомкінська;42/14;;;;73003, Херсонська обл.  м.Херсон, Суворовський р-н., вул.Потьомкінська, 42/14;6510136900;UA65100150010361097
387;1330125;Дніпропетровська;;50071;м.;Кривий Ріг;Саксаганський;вулиця;Володимира Великого;24-Д;;;;50071, Дніпропетровська обл., місто Кривий Ріг, Саксаганський район, ВУЛИЦЯ ВОЛОДИМИРА ВЕЛИКОГО, будинок 24-Д;1211037000;UA12060170010585703
388;1330126;Дніпропетровська;;50076;м.;Кривий Ріг;Саксаганський;бульвар;Вечірній;33;;;;50076, Дніпропетровська обл., місто Кривий Ріг, Саксаганський район, БУЛЬВАР ВЕЧІРНІЙ, будинок 33;1211037000;UA12060170010585703
389;1330127;Запорізька;;69009;м.;Запоріжжя;Заводський;вулиця;Ринкова;2;;;;69009, Запорізька обл., місто Запоріжжя, Заводський район, ВУЛИЦЯ РИНКОВА, будинок 2;2310136600;UA23060070010385728
390;1330128;Запорізька;;69014;м.;Запоріжжя;Шевченківський;вулиця;Базова;1;;;;69014, Запорізька обл., місто Запоріжжя, Шевченківський район, ВУЛИЦЯ БАЗОВА, будинок 1;2310137500;UA23060070010748330
391;1330129;Запорізька;;69041;м.;Запоріжжя;Дніпровський;бульвар/вул.;Вінтера/Кияшка;30/3;;;;69041, Запорізька обл., місто Запоріжжя, Дніпровський район, БУЛЬВАР ВІНТЕРА/ВУЛИЦЯ КИЯШКА, будинок 30/3;2310136900;UA23060070010228148
392;1330130;Запорізька;;69097;м.;Запоріжжя;Хортицький;вулиця;Василя Сергієнка;9;;;;69097, Запорізька обл., місто Запоріжжя, Хортицький район, ВУЛИЦЯ ВАСИЛЯ СЕРГІЄНКА, будинок 9;2310137300;UA23060070010618511
393;1330131;Запорізька;;69091;м.;Запоріжжя;;бульвар;Шевченка;71;;;;71630, Запорізька обл., м.Запоріжжя, Вознесенівський р-н., бульвар Шевченка, будинок 71;2310137200;UA23060070010154443
394;1330132;Донецька;;87549;м.;Маріуполь;Центральний;проспект;Металургів;112;;;;87549, Донецька обл., місто Маріуполь, Центральний район, ПРОСПЕКТ МЕТАЛУРГІВ, будинок 112;1412336300;UA14140050010437700
395;1330133;Харківська;;61176;м.;Харків;Немишлянський;вулиця;Краснодарська;181-А;;;;61176, Харківська обл., місто Харків, Немишлянський район, ВУЛИЦЯ КРАСНОДАРСЬКА, будинок 181-А;6310138500;UA63120270010423479
396;1330134;Харківська;;61068;м.;Харків;Московський;вулиця;Павлова;44-Б;;;;61068, Харківська обл., місто Харків, Московський район, ВУЛИЦЯ ПАВЛОВА, будинок 44-Б;6310137500;UA63120270010315719
397;1330135;Київська;Вишгородський;7352;м.;Лютіж;;вулиця;Визволителів;56-А;;;;07352, Київська обл., Вишгородський район, село Лютіж, ВУЛИЦЯ ВИЗВОЛИТЕЛІВ, будинок 56-А;3221885201;UA32100070030073050
398;1330136;;; 02068;м.;Київ;Дарницький;вулиця;Ревуцького;6;;;;02068, м.Київ, Дарницький район, ВУЛИЦЯ РЕВУЦЬКОГО, будинок 6;8036300000;UA80000000000210193
399;1330137;Сумська;;41615;м.;Конотоп;;проспект;Миру;3;;;;41615, Сумська обл., м.Конотоп, проспект Миру, 3;5910400000;UA59020070000032449
400;1330138;Чернігівська;;14014;м.;Чернігів;Деснянський;вулиця;Музична;1;;;;14014, Чернігівська обл., місто Чернігів, Деснянський район, ВУЛИЦЯ МУЗИЧНА, будинок 1;7410136300;UA74100390010122363
401;1330139;Чернівецька;;58029;м.;Чернівці;;вулиця;Героїв майдану;71;;;;58029, Чернівецька обл., місто Чернівці, ВУЛИЦЯ ГЕРОЇВ МАЙДАНУ, будинок 71;7310100000;UA73060610000066784
