№ п/п;"№ Відділення ТОВ ""ЕПС""";Область;Район в обл.;Індекс;Тип населеного пункту;Населений пункт;Район в місті;Тип вулиці;Адреса;Номер будинку;Дата признчення керівника;модель РРО;Заводський № РРО;2;koatu1;koatu2
1;1010001;Харківська;;61000;м.;Харків;Немишлянський;проспект;Московський;247А;;;;61000, Харківська обл., місто Харків, Немишлянський район, ПРОСПЕКТ МОСКОВСЬКИЙ, будинок 247А;6310138500;UA63120270010423479
2;1010002;Львівська;Яворівський;81097;с.;Підрясне;;вулиця;Європейська;13;;;;81097, Львівська обл., Яворівський район, село Підрясне, ВУЛИЦЯ ЄВРОПЕЙСЬКА , будинок 13;4625887503;UA46060250180032664
3;1010003;Дніпропетровська;;49000;м.;Дніпро;Індустріальний;вулиця;Дніпросталівська;5;;;;49000, Дніпропетровська обл., місто Дніпро, Індустріальний район, ВУЛИЦЯ ДНІПРОСТАЛІВСЬКА, будинок 5;1210137200;UA12020010010231764
4;1010004;Чернігівська;;14000;м.;Чернігів;Деснянський;вулиця;Широка;1А;;;;14000, Чернігівська обл., місто Чернігів, Деснянський район, ВУЛИЦЯ ШИРОКА, будинок 1А;7410136300;UA74100390010122363
5;1010005;;;01004;м.;Київ;Шевченківський;вулиця;Велика Васильківська;15/2;;;;01004, м.Київ, Шевченківський район, ВУЛИЦЯ ВЕЛИКА ВАСИЛЬКІВСЬКА, будинок 15/2;8039100000;UA80000000001078669
6;1010006;Одеська;;65001;м.;Одеса;Суворовський;вулиця;Чорноморського козацтва;80;;;;65001, Одеська обл., місто Одеса, Суворовський район, ВУЛИЦЯ ЧОРНОМОРСЬКОГО КОЗАЦТВА, будинок 80;5110137600;UA51100270010413116
7;1010007;Полтавська;;36000;м.;Полтава;Київський;вулиця;Половка;68;;;;36000, Полтавська обл., місто Полтава, Київський район, ВУЛ. ПОЛОВКА, будинок 68;5310136400;UA53080370010183642
8;1010008;Донецька;;85301;м.;Покровськ;;вулиця;Шмідта;202;;;;85301, Донецька обл., місто Покровськ, ВУЛИЦЯ ШМІДТА, будинок 202;1413200000;UA14160210010099403
9;1010009;Донецька;;87500;м.;Маріуполь;Центральний;вулиця;Запорізьке шосе;1;;;;87500, Донецька обл., м.Маріуполь, Центральний р-н., Запорізьке шосе, 1;1412336300;UA14140050010437700
10;1010010;Луганська;;93405;м.;Сєвєродонецьк;;вулиця;Федоренка;10;;;;93405, Луганська обл., м.Сєвєродонецьк,  вул.Федоренка,10;4412900000;UA44120110010072887
11;1010011;Харківська;;61000;м.;Харків;Московський;вулиця;Якіра;131;;;;61000, Харківська обл., місто Харків, Московський район, ВУЛИЦЯ ЯКІРА, будинок 131;6310137500;UA63120270010315719
12;1010012;Житомирська;;10029;м.;Житомир;Богунський;вулиця;Малинська;4;;;;10029, Житомирська обл., м.Житомир, Богунський р-н., вул.Малинська, 4;1810136300;UA18040190010115253
13;1010013;Івано-Франківська;;76007;м.;Івано-Франківськ;;вулиця;Сагайдачного;48Д;;;;76007, Івано-Франківська обл., місто Івано-Франківськ, ВУЛИЦЯ САГАЙДАЧНОГО, будинок 48Д;2610100000;UA26040190010045761
14;1010014;Хмельницька;Кам`янець-Подільський;32307;с.;Кам`янка;Шевченківський;вулиця;Вокзальна;2/8;;;;32307, Хмельницька обл., Кам`янець-Подільський район, село Кам`янка, ВУЛИЦЯ ВОКЗАЛЬНА, будинок 2/8;6822483701;UA68020230080085264
15;1010015;Херсонська;;73009;м.;Херсон;Суворовський;проспект;Адмірала Сенявіна;27;;;;73009, Херсонська обл., місто Херсон, Суворовський район, ПРОСПЕКТ АДМІРАЛА СЕНЯВІНА, будинок 27;6510136900;UA65100150010361097
16;1010016;Волинська;;43005;м.;Луцьк;;вулиця;Карбишева;2;;;;43005, Волинська обл., місто Луцьк, ВУЛИЦЯ КАРБИШЕВА, будинок 2;0710100000;UA07080170010083384
17;1010017;Рівненська;;33009;м.;Рівне;;провулок;РОБІТНИЧИЙ;5;;;;33009, Рівненська обл., місто Рівне, ПРОВУЛОК РОБІТНИЧИЙ, будинок 5;5610100000;UA56060470010041018
18;1010018;;;03026;м.;Київ;Голосіївський;вулиця;Пирогівський шлях;135;;;;03026, м.Київ, Голосіївський район, ВУЛИЦЯ ПИРОГІВСЬКИЙ ШЛЯХ, будинок 135;8036100000;UA80000000000126643
19;1010019;;;02094;м.;Київ;Дніпровський;вулиця;Віскозна;32;;;;02094, м.Київ, Дніпровський район, ВУЛИЦЯ ВІСКОЗНА, будинок 32;8036600000;UA80000000000479391
20;1010020;Київська;;09117;м.;Біла Церква;;вулиця;УЗИНСЬКА;5;;;;09117, Київська обл., місто Біла Церква, ВУЛИЦЯ УЗИНСЬКА, будинок 5;3210300000;UA32020010010081183
21;1010021;Київська;;07403;м.;Бровари;;вулиця;Красовського;16;;;;07403, Київська обл., місто Бровари, ВУЛИЦЯ КРАСОВСЬКОГО, будинок 16;3210600000;UA32060050010081797
22;1010022;Донецька;;85700;м.;Волноваха;Волноваський;вулиця;Українська;36;;;;85700, Донецька обл., Волноваський район, місто Волноваха, ВУЛИЦЯ УКРАЇНСЬКА, будинок 36;1421510100;UA14040030010074500
23;1010023;Дніпропетровська;;50000;м.;Кривий Ріг;Довгинцівський;вулиця;Отто Брозовського;85;;;;50000, Дніпропетровська обл., місто Кривий Ріг, Довгинцівський район, ВУЛИЦЯ ОТТО БРОЗОВСЬКОГО, будинок 85;1211036400;UA12060170010145934
24;1010024;Черкаська;;18006;м.;Черкаси;Придніпровський;вулиця;ГОГОЛЯ;582;;;;18006, Черкаська обл., місто Черкаси, Придніпровський район, ВУЛИЦЯ ГОГОЛЯ, будинок 582;7110136400;UA71080490010144486
25;1010025;Черкаська;;19702;м.;Золотоноша;;вулиця;Шевченка;153;;;;19701, Черкаська обл., місто Золотоноша, ВУЛИЦЯ ШЕВЧЕНКА, будинок 153;7110400000;UA71040090010057400
26;1010026;Запорізька;;69014;м.;Запоріжжя;Шевченківський;вулиця;КАРПЕНКА-КАРОГО;54;;;;69014, Запорізька обл., м.Запоріжжя, Шевченківський р-н., вул.Карпенка-Карого, 54;2310137500;UA23060070010748330
27;1010027;Полтавська;;39610;м.;Кременчук;Крюківський;проспект;Свободи;172;;;;39610, Полтавська обл., місто Кременчук, Крюківський район, ПРОСПЕКТ СВОБОДИ, будинок 172;5310436500;UA53020110010228624
28;1010028;Миколаївська;;54034;м.;Миколаїв;Інгульський;вулиця;Авангардна;6/8;;;;54034, Миколаївська обл., м.Миколаїв, Інгульський р-н., вул.Авангардна, 6/8;4810136900;UA48060150010235917
29;1010029;Донецька;Костянтинівський;85102;м.;Костянтинівка;;площа;Перемоги;3;;;;85102, Донецька обл., місто Костянтинівка, ПЛОЩА ПЕРЕМОГИ, будинок 3;1412600000;UA14120070010085843
30;1010030;Донецька;Краматорський;84333;м.;Краматорськ;;вулиця;Архипа Куїнджі;5;;;;84333, Донецька обл., місто Краматорськ, ВУЛИЦЯ АРХИПА КУЇНДЖІ, будинок 5;1412900000;UA14120090010038661
31;1010031;Одеська;Овідіопольський;67806;смт.;Авангард;;вулиця;Базова;20;;;;67806, Одеська обл., Овідіопольський район, селище міського типу Авангард, ВУЛИЦЯ БАЗОВА, будинок 20;5123755200;UA51100010010083015
32;1010032;Харківська;;61054;м.;Харків;Московський;вулиця;Василя Стуса;6;;;;61054, Харківська обл., м.Харків, Московський р-н., вул.Василя Стуса, 6;6310137500;UA63120270010315719
33;1010033;Харківська;;61172;м.;Харків;Індустріальний;вулиця;Роганська;147;;;;61172, Харківська обл., місто Харків, Індустріальний район, ВУЛИЦЯ РОГАНСЬКА, будинок 147;6310138200;UA63120270010158723
34;1010034;Хмельницька;;29016;м.;Хмельницький;;вулиця;Геологів;8;;;;29016, Хмельницька обл., місто Хмельницький, ВУЛИЦЯ ГЕОЛОГІВ, будинок 8;6810100000;UA68040470010096613
35;1010035;Вінницька;;21034;м.;Вінниця;;вулиця;Ватутіна;137;;;;21034, Вінницька обл., місто Вінниця, ВУЛИЦЯ Ватутіна, будинок 137;0510100000;UA05020030010063857
36;1010036;Чернівецька;;58007;м.;Чернівці;Садгірський;вулиця;Коломийська;13Б;;;;58007, Чернівецька обл., місто Чернівці, Садгірський район, ВУЛИЦЯ КОЛОМИЙСЬКА, будинок 13Б;0524955100;UA05080090010025419
37;1010037;Тернопільська;;46400;м.;Тернопіль;;вулиця;Подільська;38А;;;;46400, Тернопільська обл., місто Тернопіль, ВУЛИЦЯ ПОДІЛЬСЬКА, будинок 38-А;6110100000;UA61040490010069060
38;1010038;Львівська;;79035;м.;Львів;Сихівський;вулиця;БУЗКОВА;2;;;;79035, Львівська обл., місто Львів, Сихівський район, ВУЛИЦЯ БУЗКОВА, будинок 2;4610136800;UA46060250010457177
39;1010039;Закарпатська;;88006;м.;Ужгород;;вулиця;Проектна;1А;;;;88006, Закарпатська обл., місто Ужгород, ВУЛИЦЯ ПРОЕКТНА, будинок 1А;2110100000;UA21100230010016545
40;1010040;Волинська;Володимир-Волинський;44702;м.;Володимир-Волинський;;вулиця;20 липня;8А;;;;44702, Волинська обл., місто Володимир-Волинський, ВУЛИЦЯ 20 ЛИПНЯ, будинок 8А;0710200000;UA07020010010041660
41;1010041;Волинська;Ковельський;45005;м.;Ковель;;вулиця;Ватутіна;59;;;;45005, Волинська обл., місто Ковель, ВУЛИЦЯ ВАТУТІНА, будинок 59;0710400000;UA07060190010068509
42;1010042;;;04080;м.;Київ;Оболонський;вулиця;Новокостянтинівська;22/15;;;;04080, м.Київ, Оболонський район, ВУЛИЦЯ НОВОКОСТЯНТИНІВСЬКА, будинок 22/15;8038000000;UA80000000000551439
43;1010043;;;03134;м.;Київ;Святошинський;вулиця;Симиренка;36;;;;03134, м.Київ, Святошинський р-н., вул.Симиренка, 36;8038600000;UA80000000000875983
44;1010044;;;02099;м.;Київ;Дарницький;вулиця;БОРИСПІЛЬСЬКА;9;;;;02099, м.Київ, Дарницький район, ВУЛИЦЯ БОРИСПІЛЬСЬКА, будинок 9;8036300000;UA80000000000210193
45;1010045;Луганська;;93003;м.;Рубіжне;;вулиця;ПОМЕРАНЧУКА;13-А;;;;93003, Луганська обл., місто Рубіжне, ВУЛИЦЯ ПОМЕРАНЧУКА, будинок 13-А;4412500000;UA44120090010096548
46;1010046;Київська;Києво-Святошинський;08132;м.;Вишневе;;вулиця;Промислова;5;;;;08132, Київська обл., Києво-Святошинський район, місто Вишневе, ВУЛИЦЯ ПРОМИСЛОВА, будинок 5;3222410600;UA32080090010037585
47;1010047;Дніпропетровська;;49101;м.;Дніпро;Центральний;вулиця;Володимира Антоновича;33;;;;49101, Дніпропетровська обл., місто Дніпро, Центральний район, ВУЛИЦЯ ВОЛОДИМИРА АНТОНОВИЧА, будинок 33;1210137500;UA12020010010639502
48;1010048;Дніпропетровська;;49033;м.;Дніпро;Чечелівський;вулиця;Краснопільська;23А;;;;49033, Дніпропетровська обл., місто Дніпро, Чечелівський район, ВУЛИЦЯ КРАСНОПІЛЬСЬКА, будинок 23А;1210137800;UA12020010010757287
49;1010049;Сумська;;40007;смт.;Суми;Зарічний;вулиця;Лінійна;15;;;;40007, Сумська обл., місто Суми, Зарічний район, ВУЛИЦЯ ЛІНІЙНА, будинок 15;5910136300;UA59080270010111002
50;1010050;Одеська;Овідіопольський;67806;м.;Авангард;;вулиця;Базова;11;;;;67806, Одеська обл., Овідіопольський район, селище міського типу Авангард, ВУЛИЦЯ БАЗОВА, будинок 11;5123755200;UA51100010010083015
51;1010051;Черкаська;;18036;м.;Черкаси;Соснівський;вулиця;14-ГО ГРУДНЯ;6/1;;;;18036, Черкаська обл., місто Черкаси, Соснівський район, ВУЛИЦЯ 14-ГО ГРУДНЯ, будинок 6/1;7110136700;UA71080490010259590
52;1010052;Черкаська;Балтський;19402;м.;Корсунь-Шевченківський;;вулиця;Героїв Майдану;8;;;;19402, Черкаська обл., Корсунь-Шевченківський район, місто Корсунь-Шевченківський, ВУЛИЦЯ ГЕРОЇВ МАЙДАНУ, будинок 8;7122510100;UA71080170010098381
53;1010053;Запорізька;;72312;м.;Мелітополь;;вулиця;ІНТЕРКУЛЬТУРНА;21/1;;;;72312, Запорізька обл., місто Мелітополь, ВУЛИЦЯ ІНТЕРКУЛЬТУРНА, будинок 21/1;2310700000;UA23080070010092407
54;1010054;Запорізька;;69057;м.;Запоріжжя;Вознесенівський;вулиця;Олександра Матросова;15;;;;69057, Запорізька обл., місто Запоріжжя, Вознесенівський район, ВУЛИЦЯ ОЛЕКСАНДРА МАТРОСОВА, будинок 15;2310137200;UA23060070010154443
55;1010055;Донецька;;84507;м.;Бахмут;;вулиця;Мічуріна;1-А;;;;84507, Донецька обл., місто Бахмут, ВУЛИЦЯ МІЧУРІНА, будинок 1-А;1410300000;UA14020010010059145
56;1010056;Донецька;Слов`янський;84122;м.;Слов`янськ;;вулиця;Поштова;81;;;;84122, Донецька обл., місто Слов`янськ, ВУЛИЦЯ ПОШТОВА, будинок 81;1414100000;UA14120210010032554
57;1010057;Харківська;;61040;м.;Харків;Холодногірський;вулиця;Велика Панасівська;185;;;;61040, Харківська обл., місто Харків, Холодногірський район, ВУЛИЦЯ ВЕЛИКА ПАНАСІВСЬКА, будинок 185;6310137200;UA63120270010877312
58;1010058;Житомирська;Новоград-Волинський;11707;м.;Новоград-Волинський;;вулиця;Шевченка;54;;;;11707, Житомирська обл., місто Новоград-Волинський, ВУЛИЦЯ ШЕВЧЕНКА, будинок 54;1824000000;UA18080000000016657
59;1010059;Хмельницька;;29026;м.;Хмельницький;;вулиця;ПІЛОТСЬКА;77/6;;;;29026, Хмельницька обл., місто Хмельницький, ВУЛИЦЯ ПІЛОТСЬКА, будинок 77/6;6810100000;UA68040470010096613
60;1010060;Рівненська;;33005;м.;Рівне;;вулиця;Боярка;28;;;;33005, Рівненська обл., місто Рівне, ВУЛИЦЯ БОЯРКА , будинок 28;5610100000;UA56060470010041018
61;1010061;Львівська;Самбірський;81400;м.;Самбір;;вулиця;Шевченка;52/9;;;;81400, Львівська обл., місто Самбір, ВУЛИЦЯ ШЕВЧЕНКА, будинок 52/9;4624200000;UA46080000000017237
62;1010062;Рівненська;;33027;м.;Рівне;;вулиця;Київська;98;;;;33027, Рівненська обл., місто Рівне, ВУЛИЦЯ Київська, будинок 98;5610100000;UA56060470010041018
63;1010063;Волинська;;43023;м.;Луцьк;;вулиця;Єршова;11;;;;43023, Волинська обл., місто Луцьк, ВУЛИЦЯ ЄРШОВА, будинок 11;0710100000;UA07080170010083384
64;1010064;;;02081;м.;Київ;Дарницький;вулиця;ПРИЧАЛЬНА;5-А;;;;02081, м.Київ, Дарницький район, ВУЛИЦЯ ПРИЧАЛЬНА, будинок 5-А;8036300000;UA80000000000210193
65;1010065;Волинська;Ківерцівський;45201;м.;Ківерці;;вулиця;Чкалова;61;;;;45201, Волинська обл., Ківерцівський район, м.Ківерці, ВУЛИЦЯ ЧКАЛОВА, будинок 61;0721810100;UA07080110010029699
66;1010066;;;04074;м.;Київ;Оболонський;вулиця;Коноплянська;12;;;;04074, м.Київ, Оболонський район, ВУЛИЦЯ КОНОПЛЯНСЬКА, будинок 12;8038000000;UA80000000000551439
67;1010067;Сумська;;42001;м.;Ромни;;вулиця;Горького;67;;;;42001, Сумська обл., місто Ромни, ВУЛИЦЯ ГОРЬКОГО, будинок 67;5910700000;UA59060110010062596
68;1010068;Дніпропетровська;;49019;м.;Дніпро;;вулиця;Квітки - Основ`яненко;5;;;;49019, Дніпропетровська обл., місто Дніпро, Ленінський район, ВУЛИЦЯ КВІТКИ-ОСНОВ`ЯНЕНКО, будинок 5;1210138100;UA12020010010350200
69;1010069;Волинська;;43018;м.;Луцьк;;вулиця;ПОТЕБНІ;71;;;;43018, Волинська обл., місто Луцьк, ВУЛИЦЯ ПОТЕБНІ, будинок 71;0710100000;UA07080170010083384
70;1010070;Одеська;Білгород-Дністровський;67707;м.;Білгород-Дністровський;;вулиця;Гагаріна;33;;;;67704, Одеська обл., місто Білгород-Дністровський, ВУЛИЦЯ ГАГАРІНА, будинок 33;5110300000;UA51040010010048834
71;1010071;Хмельницька;Полонський;30501;м.;Полонне;;вулиця;ДЕСЯТИННА;36;;;;30501, Хмельницька обл., Полонський район, місто Полонне, ВУЛИЦЯ ДЕСЯТИННА, будинок 36;6823610100;UA68060210010068447
72;1010072;Запорізька;Бердянський;71108;м.;Бердянськ;;вулиця;Правди;80;;;;71108, Запорізька обл., місто Бердянськ, ВУЛИЦЯ ПРАВДИ, будинок 80;2310400000;UA23020050010019935
73;1010073;Харківська;Лозівський;64602;м.;Лозова;;провулок;Севастопольський;2Б;;;;64602, Харківська обл., місто Лозова, ПРОВУЛОК СЕВАСТОПОЛЬСЬКИЙ, будинок 2Б;6311000000;UA63100050010081626
74;1010074;Чернігівська;Прилуцький;17503;м.;Прилуки;;вулиця;Козача;56;;;;17503, Чернігівська обл., місто Прилуки, ВУЛИЦЯ КОЗАЧА, будинок 56;7410700000;UA74080130010045104
75;1010075;Рівненська;Сарненський;34503;м.;Сарни;;вулиця;Ткача;12;;;;34503, Рівненська обл., Сарненський район, місто Сарни, ВУЛИЦЯ ТКАЧА, будинок 12;5625400000;UA56080000000096146
76;1010076;Волинська;;45403;м.;Нововолинськ;;вулиця;Промислова;67;;;;45403, Волинська обл., місто Нововолинськ, ВУЛИЦЯ ПРОМИСЛОВА, будинок 67;0710700000;UA07020130010041880
77;1010077;Волинська;Любомльський;44301;м.;Любомль;;вулиця;1 Травня;127;;;;44301, Волинська обл., Любомльський район, місто Любомль, ВУЛИЦЯ 1 ТРАВНЯ, будинок 127;0723310100;UA07060270010018151
78;1010078;Полтавська;;36020;м.;Полтава;;вулиця;Соборності;28/13;;;;36020, Полтавська обл., місто Полтава, Октябрський район, ВУЛИЦЯ СОБОРНОСТІ, будинок 28/13;5310137000;UA53080370010339303
79;1010079;Сумська;Шосткинський;41100;м.;Шостка;;вулиця;Садовий бульвар;36А;;;;41100, Сумська обл., місто Шостка, ВУЛИЦЯ САДОВИЙ БУЛЬВАР, будинок 36А;5925300000;UA59100000000036457
80;1010080;Херсонська;;74900;м.;Нова Каховка;;вул.;Заводська;2-Н;;;;74900, Херсонська обл., місто Нова Каховка, вул.Заводська, 2-Н;6510700000;UA65060170010075325
81;1010081;Херсонська;Каховський;74800;м.;Каховка;;вулиця;Мелітопільська;83;;;;74800, Херсонська обл., місто Каховка, ВУЛИЦЯ МЕЛІТОПІЛЬСЬКА, будинок 83;6510400000;UA65060110010021041
82;1010082;Рівненська;;34400;м.;Вараш;;вулиця;Лісова;1;;;;34400, Рівненська обл., місто Вараш, ВУЛИЦЯ ЛІСОВА, будинок 1;5610700000;UA56020030010034121
83;1010083;Тернопільська;;46003;м.;Тернопіль;;вулиця;Бродівська;44;;;;46003, Тернопільська обл., місто Тернопіль, ВУЛИЦЯ БРОДІВСЬКА, будинок 44;6110100000;UA61040490010069060
84;1010084;Донецька;;87515;м.;Маріуполь;Центральний;вулиця;Італійська;40;;;;87515, Донецька обл., місто Маріуполь, Центральний район, ВУЛИЦЯ ІТАЛІЙСЬКА, будинок 40;1412336300;UA14140050010437700
85;1010085;Рівненська;Костопільський;35000;м.;Костопіль;;вулиця;ДРУЖБИ;2;;;;35000, Рівненська обл., Костопільський район, місто Костопіль, ВУЛИЦЯ ДРУЖБИ, будинок 2;5623410100;UA56060350010063070
86;1010086;Київська;Обухівський;8700;м.;Обухів;;вулиця;Жовтнева;174;;;;08700, Київська обл., місто Обухів, ВУЛИЦЯ ЖОВТНЕВА, будинок 174;3211600000;UA32120110010071582
87;1010087;Дніпропетровська;Нікопольський;53208;м.;Нікополь;;вулиця;Кооперативна;5;;;;53208, Дніпропетровська обл., місто Нікополь, ВУЛИЦЯ КООПЕРАТИВНА, будинок 5;1211600000;UA12080050010010114
88;1010088;Волинська;Павлоградський;45008;м.;Ковель;;вулиця;Незалежності;166-А;;;;45008, Волинська обл., місто Ковель, ВУЛИЦЯ Незалежності, будинок 166-А;0710400000;UA07060190010068509
89;1010089;Львівська;Жидачівський;81700;м.;Жидачів;;вулиця;Вокзальна;5;;;;81700, Львівська обл., Жидачівський район, місто Жидачів, ВУЛИЦЯ ВОКЗАЛЬНА, будинок 5;4621510100;UA46100050010010600
90;1010090;Черкаська;Уманський;20301;м.;Умань;;вулиця;Індустріальна;14А;;;;20301, Черкаська обл., місто Умань, ВУЛИЦЯ ІНДУСТРІАЛЬНА, будинок 14А;7110800000;UA71060210010010251
91;1010091;Волинська;Ратнівський;27500;смт.;Ратне;;вулиця;1-го Травня;34;;;;44101, Волинська обл., Ратнівський район, селище міського типу Ратне, ВУЛИЦЯ 1-ГО ТРАВНЯ, будинок 34;0724255100;UA07060310010081210
92;1010092;Закарпатська;;89611;м.;Мукачево;;вулиця;АКАДЕМІКА МОРОЗОВА;20;;;;89611, Закарпатська обл., місто Мукачево, ВУЛИЦЯ АКАДЕМІКА МОРОЗОВА, будинок 20;2110400000;UA21040150010056148
93;1010093;Хмельницька;Волочиський;31202;м.;Волочиськ;;вулиця;Олександра Довженка;2-Ж;;;;31202, Хмельницька обл., Волочиський район, місто Волочиськ, ВУЛИЦЯ ОЛЕКСАНДРА ДОВЖЕНКА, будинок 2-Ж;6820910100;UA68040090010095929
94;1010094;Кіровоградська;;25015;м.;Кропивницький;Подільський;вулиця;Євгена Маланюка;11-А;;;;25015, Кіровоградська обл., м.Кропивницький, Подільський р-н., вул. Євгена Маланюка, 11-А;3510136600;UA35040210010145346
95;1010095;Миколаївська;;55001;м.;Южноукраїнськ;;вулиця;Дружби народів;5/5;;;;55001, Миколаївська обл., місто Южноукраїнськ, ВУЛИЦЯ ДРУЖБИ НАРОДІВ, будинок 5/5;4810800000;UA48040250010045068
96;1010096;Луганська;Станично-Луганський;93600;смт.;Станиця Луганська;;вулиця;БУКАЄВА;53;;;;93600, Луганська обл., Станично-Луганський район, селище міського типу Станиця Луганська, ВУЛИЦЯ БУКАЄВА, будинок 53;4424855100;UA44160050010037864
97;1010097;Запорізька;Токмацький;71701;м.;Токмак;;вулиця;Карла Лібкнехта;103;;;;71701, Запорізька обл., місто Токмак, ВУЛИЦЯ КАРЛА ЛІБКНЕХТА, будинок 103;2311000000;UA23100270010029314
98;1010098;Запорізька;;69089;м.;Запоріжжя;;вулиця;Істоміна;6;;;;69089, Запорізька обл., місто Запоріжжя, Дніпровський район, ВУЛИЦЯ ІСТОМІНА, будинок 6;2310136900;UA23060070010228148
99;1010099;Чернігівська;Ніжинський;16610;м.;Ніжин;;вулиця;Генерала Корчагіна;2;;;;16610, Чернігівська обл., місто Ніжин, ВУЛИЦЯ ГЕНЕРАЛА КОРЧАГІНА, будинок 2;7410400000;UA74040250010023991
100;1010100;Сумська;Конотопський;41600;м.;Конотоп;;вулиця;Садова;16;;;;41600, Сумська обл., місто Конотоп, ВУЛИЦЯ САДОВА, будинок 16;5910400000;UA59020070010054283
101;1010101;Полтавська;;39801;м.;Горішні Плавні;;вулиця;Строна;1;;;;39801, Полтавська обл., місто Горішні Плавні, ВУЛИЦЯ СТРОНА, будинок 1;5310200000;UA53020030010087471
102;1010102;Вінницька;;23100;м.;Жмеринка;;вулиця;Київська;18;;;;23100, Вінницька обл., місто Жмеринка, ВУЛИЦЯ КИЇВСЬКА, будинок 18;0510300000;UA05060050010030599
103;1010103;Миколаївська;;56501;м.;Вознесенськ;;вулиця;Соборності;13;;;;56501, Миколаївська обл., місто Вознесенськ, ВУЛИЦЯ СОБОРНОСТІ, будинок 13;4810200000;UA48040070010053688
104;1010104;Луганська;Кремінський;92905;м.;Кремінна;;провулок;ПІЩАНИЙ;10;;;;92905, Луганська обл., Кремінський район, місто Кремінна, ПРОВУЛОК ПІЩАНИЙ, будинок 10;4421610100;UA44120030010038707
105;1010105;Сумська;;41400;м.;Глухів;;вулиця;ТЕРЕЩЕНКІВ;55;;;;41400, Сумська обл., місто Глухів, ВУЛИЦЯ ТЕРЕЩЕНКІВ, будинок 55;5910300000;UA59100030010033445
106;1010106;Херсонська;Генічеський;75500;м.;Генічеськ;;проспект;Миру;109-Б;;;;75500, Херсонська обл., Генічеський район, місто Генічеськ, ПРОСПЕКТ МИРУ, будинок 109-Б;6522110100;UA65040010010040633
107;1010107;Дніпропетровська;;08601;м.;Васильків;;вулиця;ГОГОЛЯ;5-А;;;;08601, Київська обл., місто Васильків, ВУЛИЦЯ ГОГОЛЯ, будинок 5-А;3210700000;UA32120030010069648
108;1010108;Львівська;;80109;м.;Червоноград;;вулиця;Богдана Хмельницького;61;;;;80109, Львівська обл., місто Червоноград, ВУЛИЦЯ БОГДАНА ХМЕЛЬНИЦЬКОГО, будинок 61;4611800000;UA46120130010071117
109;1010109;Львівська;Яворівський;81085;с.;Підрясне;;вулиця;Європейська;1;;;;81085, Львівська обл., Яворівський р-н., с.Підрясне вул.Європейська, 1;4625887503;UA46060250180032664
110;1010110;Київська;;08304;м.;Бориспіль;;вулиця;Головатого;83;;;;08304, Київська обл., місто Бориспіль, ВУЛИЦЯ ГОЛОВАТОГО, будинок 83;3210500000;UA32040010010093209
111;1010111;;;3026;м.;Київ;Голосіївський;вулиця;ПИРОГОВСЬКИЙ ШЛЯХ;135;;;;03026, м.Київ, Голосіївський район, ВУЛИЦЯ ПИРОГОВСЬКИЙ ШЛЯХ, будинок 135;8036100000;UA80000000000126643
112;1010112;Запорізька;;69014;м.;Запоріжжя;;вулиця;КАРПЕНКА-КАРОГО;47;;;;69014, Запорізька обл., місто Запоріжжя, Шевченківський район, ВУЛИЦЯ КАРПЕНКА-КАРОГО, будинок 47;2310137500;UA23060070010748330
113;1010113;Харківська;Дергачівський;62302;м.;Дергачі;;вулиця;СУМСЬКИЙ ШЛЯХ;158;;;;62302, Харківська обл., Дергачівський район, місто Дергачі, ВУЛИЦЯ СУМСЬКИЙ ШЛЯХ, будинок 158;6322010100;UA63120070010085847
114;1010114;Харківська;Харківський;62416;смт.;Пісочин;;вулиця;ПОЛТАВСЬКЕ ШОСЕ;157-А;;;;62416, Харківська обл., Харківський район, селище міського типу Пісочин, ВУЛИЦЯ ПОЛТАВСЬКЕ ШОСЕ, будинок 157-А;6325157900;UA63120210010032897
115;1010115;Запорізька;;69006;м.;Запоріжжя;Дніпровський;вулиця;Портова;2;;;;69006, Запорізька обл., м.Запоріжжя, Дніпровський р-н., вул.Портова, 2;2310136900;UA23060070010228148
116;1010116;Полтавська;;39600;м.;Кременчук;;вулиця;ІГОРЯ СЕРДЮКА;47;;;;39600, Полтавська обл., місто Кременчук, Крюківський район, ВУЛИЦЯ ІГОРЯ СЕРДЮКА, будинок 47;5310436500;UA53020110010228624
117;1010117;Полтавська;Семенівський;38200;смт.;Семенівка;;вулиця;ПЕРЕМОГИ;7;;;;38200, Полтавська обл., Семенівський район, селище міського типу Семенівка, ВУЛИЦЯ ПЕРЕМОГИ, будинок 7;5324555100;UA53020230010086475
118;1010118;Запорізька;;69002;м.;Запоріжжя;Комунарський;вулиця;Космічна;121;;;;69002, Запорізька обл., м.Запоріжжя, Комунарський р-н., вул.Космічна, 121;2310136700;UA23060070010474202
119;1010119;Харківська;;61124;м.;Харків;Слобідський;вулиця;Олександра Матросова;20;;;;61124, Харківська обл., місто Харків, Слобідський район, ВУЛИЦЯ ОЛЕКСАНДРА МАТРОСОВА, будинок 20;6310136900;UA63120270010736370
120;1010120;Львівська;;82106;м.;Дрогобич;;вулиця;Володимира Великого;66-1;;;;82106, Львівська обл., місто Дрогобич, ВУЛИЦЯ ВОЛОДИМИРА ВЕЛИКОГО, будинок 66-1;4610600000;UA46020030010069501
