department;region;district_region;district_city;city_type;city;street;street_type;hous;post_index;partner;status;register;edrpou;address;partner name;id_terminal;koatu;tax_id;koatu2
1010019;;;Дніпровський;м.;Київ;Віскозна;вулиця;32;02094;delivery;;31/07 від 20.07.2016;40683565;02094, м.Київ, Дніпровський район, ВУЛИЦЯ ВІСКОЗНА, будинок 32;;;8036600000;15800361;
1010020;Київська;;;м.;Біла Церква;УЗИНСЬКА;вулиця;5;09117;delivery;;31/07 від 20.07.2016;40683570;09117, Київська обл., місто Біла Церква, ВУЛИЦЯ УЗИНСЬКА, будинок 5;;;3210300000;15800514;
1010021;Київська;;;м.;Бровари;Красовського;вулиця;16;07403;delivery;;31/07 від 20.07.2016;40683586;07403, Київська обл., місто Бровари, ВУЛИЦЯ КРАСОВСЬКОГО, будинок 16;;;3210600000;15800513;
1010022;Донецька;;Волноваський;м.;Волноваха;Українська;вулиця;36;85700;delivery;;31/07 від 20.07.2016;40683591;85700, Донецька обл., Волноваський район, місто Волноваха, ВУЛИЦЯ УКРАЇНСЬКА, будинок 36;;;1421510100;15800515;
1010023;Дніпропетровська;;Довгинцівський;м.;Кривий Ріг;Отто Брозовського;вулиця;85;50000;delivery;;31/07 від 20.07.2016;40683607;50000, Дніпропетровська обл., місто Кривий Ріг, Довгинцівський район, ВУЛИЦЯ ОТТО БРОЗОВСЬКОГО, будинок 85;;;1211036400;15800510;
1010024;Черкаська;;Придніпровський;м.;Черкаси;ГОГОЛЯ;вулиця;582;18006;delivery;;31/07 від 20.07.2016;40683612;18006, Черкаська обл., місто Черкаси, Придніпровський район, ВУЛИЦЯ ГОГОЛЯ, будинок 582;;;7110136400;15800508;
1010025;Черкаська;;;м.;Золотоноша;Шевченка;вулиця;153;19702;delivery;;31/07 від 20.07.2016;40683628;19701, Черкаська обл., місто Золотоноша, ВУЛИЦЯ ШЕВЧЕНКА, будинок 153;;;7110400000;15800516;
1010026;Запорізька;;Шевченківський;м.;Запоріжжя;КОЛЬОРОВА;вулиця;3;69014;delivery;;31/07 від 20.07.2016;40683633;69014, Запорізька обл., місто Запоріжжя, Шевченківський район, ВУЛИЦЯ КОЛЬОРОВА, будинок 3;;b47173c3-4922-ea11-81b2-000d3a20e396;2310137500;15800512;
1010027;Полтавська;;Крюківський;м.;Кременчук;Свободи;проспект;172;39610;delivery;;31/07 від 20.07.2016;40683649;39610, Полтавська обл., місто Кременчук, Крюківський район, ПРОСПЕКТ СВОБОДИ, будинок 172;;;5310436500;15800519;
1010028;Миколаївська;;Інгульський;м.;Миколаїв;Авангардна;вулиця;6/8;54034;delivery;;31/07 від 20.07.2016;40683654;54034, Миколаївська обл., м.Миколаїв, Інгульський р-н., вул.Авангардна, 6/8;;;4810136900;15800509;
1010029;Донецька;Костянтинівський;;м.;Костянтинівка;Перемоги;площа;3;85102;delivery;;08/09 від 19.09.2016;40851537;85102, Донецька обл., місто Костянтинівка, ПЛОЩА ПЕРЕМОГИ, будинок 3;;;1412600000;15800520;
1010030;Донецька;Краматорський;;м.;Краматорськ;Архипа Куїнджі;вулиця;5;84333;delivery;;08/09 від 19.09.2016;40851542;84333, Донецька обл., місто Краматорськ, ВУЛИЦЯ АРХИПА КУЇНДЖІ, будинок 5;;;1412900000;15800528;
1010031;Одеська;Овідіопольський;;смт.;Авангард;Базова;вулиця;20;67806;delivery;;08/09 від 19.09.2016;40851558;67806, Одеська обл., Овідіопольський район, селище міського типу Авангард, ВУЛИЦЯ БАЗОВА, будинок 20;;5f46b1ad-7f5d-e311-9701-00155d015107;5123755200;15800531;
1010032;Харківська;;Московський;м.;Харків;Василя Стуса;вулиця;6;61054;delivery;;08/09 від 19.09.2016;40851563;61054, Харківська обл., м.Харків, Московський р-н., вул.Василя Стуса, 6;;;6310137500;15800522;
1010033;Харківська;;Індустріальний;м.;Харків;Роганська;вулиця;147;61172;delivery;;08/09 від 19.09.2016;40851579;61172, Харківська обл., місто Харків, Індустріальний район, ВУЛИЦЯ РОГАНСЬКА, будинок 147;;;6310138200;15800527;
1010034;Хмельницька;;;м.;Хмельницький;Геологів;вулиця;8;29016;delivery;;08/09 від 19.09.2016;40851584;29016, Хмельницька обл., місто Хмельницький, ВУЛИЦЯ ГЕОЛОГІВ, будинок 8;;;6810100000;15800523;
1010035;Вінницька;;;м.;Вінниця;Ватутіна;вулиця;137;21034;delivery;;08/09 від 19.09.2016;40851598;21034, Вінницька обл., місто Вінниця, ВУЛИЦЯ Ватутіна, будинок 137;;;0510100000;15800524;
1010036;Чернівецька;;Садгірський;м.;Чернівці;Коломийська;вулиця;13Б;58007;delivery;;08/09 від 19.09.2016;40851605;58007, Чернівецька обл., місто Чернівці, Садгірський район, ВУЛИЦЯ КОЛОМИЙСЬКА, будинок 13Б;;;0524955100;15800526;
1010037;Тернопільська;;;м.;Тернопіль;Подільська;вулиця;38А;46400;delivery;;08/09 від 19.09.2016;40851610;46400, Тернопільська обл., місто Тернопіль, ВУЛИЦЯ ПОДІЛЬСЬКА, будинок 38-А;;;6110100000;15800530;
1010038;Львівська;;Сихівський;м.;Львів;БУЗКОВА;вулиця;2;79035;delivery;;08/09 від 19.09.2016;40851626;79035, Львівська обл., місто Львів, Сихівський район, ВУЛИЦЯ БУЗКОВА, будинок 2;;5d3b6d45-b249-e211-ab75-00155d012d0d;4610136800;15800521;
1010039;Закарпатська;;;м.;Ужгород;Проектна;вулиця;1А;88006;delivery;;08/09 від 19.09.2016;40851631;88006, Закарпатська обл., місто Ужгород, ВУЛИЦЯ ПРОЕКТНА, будинок 1А;;;2110100000;15800525;
1010040;Волинська;Володимир-Волинський;;м.;Володимир-Волинський;20 липня;вулиця;8А;44702;delivery;;08/09 від 19.09.2016;40851647;44702, Волинська обл., місто Володимир-Волинський, ВУЛИЦЯ 20 ЛИПНЯ, будинок 8А;;;0710200000;15800529;
1010041;Волинська;Ковельський;;м.;Ковель;Ватутіна;вулиця;59;45005;delivery;;08/09 від 19.09.2016;40851652;45005, Волинська обл., місто Ковель, ВУЛИЦЯ ВАТУТІНА, будинок 59;;;0710400000;15800543;
1010042;;;Оболонський;м.;Київ;Новокостянтинівська;вулиця;22/15;04080;delivery;;08/09 від 19.09.2016;40851668;04080, м.Київ, Оболонський район, ВУЛИЦЯ НОВОКОСТЯНТИНІВСЬКА, будинок 22/15;;;8038000000;15800535;
1010043;;;Святошинський;м.;Київ;Святошинська;вулиця;32;03115;delivery;;08/09 від 19.09.2016;40851673;03115, м.Київ, Святошинський район, ВУЛИЦЯ СВЯТОШИНСЬКА, будинок 32;;;8038600000;15800537;
1010044;;;Дарницький;м.;Київ;БОРИСПІЛЬСЬКА;вулиця;9;02099;delivery;;08/09 від 19.09.2016;40851689;02099, м.Київ, Дарницький район, ВУЛИЦЯ БОРИСПІЛЬСЬКА, будинок 9;;0B2E8E62-C92C-E211-9E9C-00155D053B5D;8036300000;15800533;
1010045;Луганська;;;м.;Рубіжне;ПОМЕРАНЧУКА;вулиця;13-А;93003;delivery;;08/09 від 19.09.2016;40851694;93003, Луганська обл., місто Рубіжне, ВУЛИЦЯ ПОМЕРАНЧУКА, будинок 13-А;;;4412500000;15800542;
1010046;Київська;Києво-Святошинський;;м.;Вишневе;Промислова;вулиця;5;08132;delivery;;08/09 від 19.09.2016;40851705;08132, Київська обл., Києво-Святошинський район, місто Вишневе, ВУЛИЦЯ ПРОМИСЛОВА, будинок 5;;;3222410600;15800532;
1010047;Дніпропетровська;;Центральний;м.;Дніпро;Володимира Антоновича;вулиця;33;49101;delivery;;08/09 від 19.09.2016;40851715;49101, Дніпропетровська обл., місто Дніпро, Центральний район, ВУЛИЦЯ ВОЛОДИМИРА АНТОНОВИЧА, будинок 33;Дніпро-4;;1210137500;15800545;
1010048;Дніпропетровська;;Чечелівський;м.;Дніпро;Краснопільська;вулиця;23А;49033;delivery;;08/09 від 19.09.2016;40851720;49033, Дніпропетровська обл., місто Дніпро, Чечелівський район, ВУЛИЦЯ КРАСНОПІЛЬСЬКА, будинок 23А;;;1210137800;15800536;
1010049;Сумська;;Зарічний;смт.;Суми;Лінійна;вулиця;15;40007;delivery;;08/09 від 19.09.2016;40851736;40007, Сумська обл., місто Суми, Зарічний район, ВУЛИЦЯ ЛІНІЙНА, будинок 15;;;5910136300;15800539;
1010050;Одеська;Овідіопольський;;м.;Авангард;Базова;вулиця;11;67806;delivery;;08/09 від 19.09.2016;40851741;67806, Одеська обл., Овідіопольський район, селище міського типу Авангард, ВУЛИЦЯ БАЗОВА, будинок 11;;;5123755200;15800544;
1010051;Черкаська;;Соснівський;м.;Черкаси;14-ГО ГРУДНЯ;вулиця;6/1;18036;delivery;;08/09 від 19.09.2016;40851757;18036, Черкаська обл., місто Черкаси, Соснівський район, ВУЛИЦЯ 14-ГО ГРУДНЯ, будинок 6/1;Черкаси-2;;7110136700;15800540;
1010052;Черкаська;Балтський;;м.;Корсунь-Шевченківський;Героїв Майдану;вулиця;8;19402;delivery;;08/09 від 19.09.2016;40851762;19402, Черкаська обл., Корсунь-Шевченківський район, місто Корсунь-Шевченківський, ВУЛИЦЯ ГЕРОЇВ МАЙДАНУ, будинок 8;;3D3B6D45-B249-E211-AB75-00155D012D0D;7122510100;15800538;
1010053;Запорізька;;;м.;Мелітополь;ІНТЕРКУЛЬТУРНА;вулиця;21/1;72312;delivery;;08/09 від 19.09.2016;40851778;72312, Запорізька обл., місто Мелітополь, ВУЛИЦЯ ІНТЕРКУЛЬТУРНА, будинок 21/1;;;2310700000;15801317;
1010054;Запорізька;;Вознесенівський;м.;Запоріжжя;Олександра Матросова;вулиця;15;69057;delivery;;08/09 від 19.09.2016;40851783;69057, Запорізька обл., місто Запоріжжя, Вознесенівський район, ВУЛИЦЯ ОЛЕКСАНДРА МАТРОСОВА, будинок 15;;;2310137200;15800541;
1010055;Донецька;;;м.;Бахмут;Мічуріна;вулиця;1-А;84507;delivery;;04/12 від 06.12.2016;41021713;84507, Донецька обл., місто Бахмут, ВУЛИЦЯ МІЧУРІНА, будинок 1-А;;;1410300000;15800612;
1010056;Донецька;Слов`янський;;м.;Слов`янськ;Поштова;вулиця;81;84122;delivery;;04/12 від 06.12.2016;41021729;84122, Донецька обл., місто Слов`янськ, ВУЛИЦЯ ПОШТОВА, будинок 81;;;1414100000;15800598;
1010057;Харківська;;Холодногірський;м.;Харків;Велика Панасівська;вулиця;185;61040;delivery;;04/12 від 06.12.2016;41021734;61040, Харківська обл., місто Харків, Холодногірський район, ВУЛИЦЯ ВЕЛИКА ПАНАСІВСЬКА, будинок 185;;;6310137200;15800601;
1010058;Житомирська;Новоград-Волинський;;м.;Новоград-Волинський;Шевченка;вулиця;54;11707;delivery;;04/12 від 06.12.2016;41021744;11707, Житомирська обл., місто Новоград-Волинський, ВУЛИЦЯ ШЕВЧЕНКА, будинок 54;;;1824000000;15800602;
1010059;Хмельницька;;;м.;Хмельницький;ПІЛОТСЬКА;вулиця;77/6;29026;delivery;;04/12 від 06.12.2016;41021755;29026, Хмельницька обл., місто Хмельницький, ВУЛИЦЯ ПІЛОТСЬКА, будинок 77/6;;498409b0-8d63-e611-80fd-000d3a204dc8;6810100000;15800606;
1010060;Рівненська;;;м.;Рівне;Боярка;вулиця;28;33005;delivery;;04/12 від 06.12.2016;41021760;33005, Рівненська обл., місто Рівне, ВУЛИЦЯ БОЯРКА , будинок 28;;97c73d84-948e-e511-8e46-000d3a200160;5610100000;15800600;
1010061;Львівська;Самбірський;;м.;Самбір;Шевченка;вулиця;52/9;81400;delivery;;04/12 від 06.12.2016;41021776;81400, Львівська обл., місто Самбір, ВУЛИЦЯ ШЕВЧЕНКА, будинок 52/9;;;4624200000;15800599;
1010062;Рівненська;;;м.;Рівне;Київська;вулиця;98;33027;delivery;;04/12 від 06.12.2016;41021781;33027, Рівненська обл., місто Рівне, ВУЛИЦЯ Київська, будинок 98;;;5610100000;15800607;
1010063;Волинська;;;м.;Луцьк;Єршова;вулиця;11;43023;delivery;;04/12 від 06.12.2016;41021797;43023, Волинська обл., місто Луцьк, ВУЛИЦЯ ЄРШОВА, будинок 11;;;0710100000;15800613;
1010064;;;Дарницький;м.;Київ;ПРИЧАЛЬНА;вулиця;5-А;02081;delivery;;04/12 від 06.12.2016;41021802;02081, м.Київ, Дарницький район, ВУЛИЦЯ ПРИЧАЛЬНА, будинок 5-А;;;8036300000;15800615;
1010065;Волинська;Ківерцівський;;м.;Ківерці;Чкалова;вулиця;61;45201;delivery;;04/12 від 06.12.2016;41021818;45201, Волинська обл., Ківерцівський район, м.Ківерці, ВУЛИЦЯ ЧКАЛОВА, будинок 61;;;0721810100;15800616;
1010066;;;Оболонський;м.;Київ;Коноплянська;вулиця;12;04074;delivery;;04/12 від 06.12.2016;41021823;04074, м.Київ, Оболонський район, ВУЛИЦЯ КОНОПЛЯНСЬКА, будинок 12;;;8038000000;15800609;
1010067;Сумська;;;м.;Ромни;Горького;вулиця;67;42001;delivery;;04/12 від 06.12.2016;41021839;42001, Сумська обл., місто Ромни, ВУЛИЦЯ ГОРЬКОГО, будинок 67;Ромни;;5910700000;15800608;
1010068;Дніпропетровська;;;м.;Дніпро;Квітки - Основ`яненко;вулиця;5;49019;delivery;;04/12 від 06.12.2016;41021844;49019, Дніпропетровська обл., місто Дніпро, Ленінський район, ВУЛИЦЯ КВІТКИ-ОСНОВ`ЯНЕНКО, будинок 5;;;1210138100;15800610;
1010069;Волинська;;;м.;Луцьк;ПОТЕБНІ;вулиця;71;43018;delivery;;04/12 від 06.12.2016;41021858;43018, Волинська обл., місто Луцьк, ВУЛИЦЯ ПОТЕБНІ, будинок 71;;3539350f-5670-e211-9ce1-00155d012a15;0710100000;15800611;
1010070;Одеська;Білгород-Дністровський;;м.;Білгород-Дністровський;Гагаріна;вулиця;33;67707;delivery;;04/12 від 06.12.2016;41021865;67704, Одеська обл., місто Білгород-Дністровський, ВУЛИЦЯ ГАГАРІНА, будинок 33;;;5110300000;15800603;
1010071;Хмельницька;Полонський;;м.;Полонне;ДЕСЯТИННА;вулиця;36;30501;delivery;;04/12 від 06.12.2016;41021870;30501, Хмельницька обл., Полонський район, місто Полонне, ВУЛИЦЯ ДЕСЯТИННА, будинок 36;;0c8b986f-3558-e811-8160-000d3a20e396;6823610100;15800604;
1010072;Запорізька;Бердянський;;м.;Бердянськ;Правди;вулиця;80;71108;delivery;;04/12 від 06.12.2016;41021886;71108, Запорізька обл., місто Бердянськ, ВУЛИЦЯ ПРАВДИ, будинок 80;;;2310400000;15800605;
1010073;Харківська;Лозівський;;м.;Лозова;Севастопольський;провулок;2Б;64602;delivery;;04/12 від 06.12.2016;41021891;64602, Харківська обл., місто Лозова, ПРОВУЛОК СЕВАСТОПОЛЬСЬКИЙ, будинок 2Б;;;6311000000;15800597;
1010074;Чернігівська;Прилуцький;;м.;Прилуки;Козача;вулиця;56;17503;delivery;;04/12 від 06.12.2016;41021907;17503, Чернігівська обл., місто Прилуки, ВУЛИЦЯ КОЗАЧА, будинок 56;;;7410700000;15800614;
1010075;Рівненська;Сарненський;;м.;Сарни;Ткача;вулиця;12;34503;delivery;;04/12 від 06.12.2016;41021912;34503, Рівненська обл., Сарненський район, місто Сарни, ВУЛИЦЯ ТКАЧА, будинок 12;;;5625400000;15800595;
1010076;Волинська;;;м.;Нововолинськ;Промислова;вулиця;67;45403;delivery;;04/12 від 06.12.2016;41021928;45403, Волинська обл., місто Нововолинськ, ВУЛИЦЯ ПРОМИСЛОВА, будинок 67;;;0710700000;15800592;
1010077;Волинська;Любомльський;;м.;Любомль;1 Травня;вулиця;127;44301;delivery;;04/12 від 06.12.2016;41021933;44301, Волинська обл., Любомльський район, місто Любомль, ВУЛИЦЯ 1 ТРАВНЯ, будинок 127;;;0723310100;15800591;
1010078;Полтавська;;;м.;Полтава;Соборності;вулиця;28/13;36020;delivery;;04/12 від 06.12.2016;41021949;36020, Полтавська обл., місто Полтава, Октябрський район, ВУЛИЦЯ СОБОРНОСТІ, будинок 28/13;;0b44d5c2-8ee8-e311-9747-00155d015206;5310137000;15800589;
1010079;Сумська;Шосткинський;;м.;Шостка;Садовий бульвар;вулиця;36А;41100;delivery;;04/12 від 06.12.2016;41021954;41100, Сумська обл., місто Шостка, ВУЛИЦЯ САДОВИЙ БУЛЬВАР, будинок 36А;;;5925300000;15800596;
1010080;Херсонська;;;м.;Нова Каховка;Заводська;вул.;2-Н;74900;delivery;;04/12 від 06.12.2016;41021961;74900, Херсонська обл., місто Нова Каховка, вул.Заводська, 2-Н;;;6510700000;15800594;
1010081;Херсонська;Каховський;;м.;Каховка;Мелітопільська;вулиця;83;74800;delivery;;04/12 від 06.12.2016;41021975;74800, Херсонська обл., місто Каховка, ВУЛИЦЯ МЕЛІТОПІЛЬСЬКА, будинок 83;;;6510400000;15800593;
1010082;Рівненська;;;м.;Вараш;Лісова;вулиця;1;34400;delivery;;04/12 від 06.12.2016;41021980;34400, Рівненська обл., місто Вараш, ВУЛИЦЯ ЛІСОВА, будинок 1;;5AC4172D-630F-E511-B3B5-000D3A200160;5610700000;15800590;
1010083;Тернопільська;;;м.;Тернопіль;Бродівська;вулиця;44;46003;delivery;;04/12 від 06.12.2016;41021996;46003, Тернопільська обл., місто Тернопіль, ВУЛИЦЯ БРОДІВСЬКА, будинок 44;;;6110100000;15800588;
1010084;Донецька;;Центральний;м.;Маріуполь;Італійська;вулиця;40;87515;delivery;;13/12 від 14.12.2016;41032589;87515, Донецька обл., місто Маріуполь, Центральний район, ВУЛИЦЯ ІТАЛІЙСЬКА, будинок 40;;cdd35b01-092c-e311-8b0d-00155d037960;1412336300;15800630;
1010085;Рівненська;Костопільський;;м.;Костопіль;ДРУЖБИ;вулиця;2;35000;delivery;;13/12 від 14.12.2016;41032594;35000, Рівненська обл., Костопільський район, місто Костопіль, ВУЛИЦЯ ДРУЖБИ, будинок 2;;;5623410100;15800625;
1010086;Київська;Обухівський;;м.;Обухів;Жовтнева;вулиця;174;8700;delivery;;13/12 від 14.12.2016;41032609;08700, Київська обл., місто Обухів, ВУЛИЦЯ ЖОВТНЕВА, будинок 174;;;3211600000;15800623;
1010087;Дніпропетровська;Нікопольський;;м.;Нікополь;Кооперативна;вулиця;5;53208;delivery;;13/12 від 14.12.2016;41032620;53208, Дніпропетровська обл., місто Нікополь, ВУЛИЦЯ КООПЕРАТИВНА, будинок 5;;;1211600000;15800629;
1010088;Волинська;Павлоградський;;м.;Ковель;Незалежності;вулиця;166-А;45008;delivery;;13/12 від 14.12.2016;41032636;45008, Волинська обл., місто Ковель, ВУЛИЦЯ Незалежності, будинок 166-А;;f34a3484-2045-e611-80ef-000d3a204dc8;0710400000;15800637;
1010089;Львівська;Жидачівський;;м.;Жидачів;Вокзальна;вулиця;5;81700;delivery;;13/12 від 14.12.2016;41032641;81700, Львівська обл., Жидачівський район, місто Жидачів, ВУЛИЦЯ ВОКЗАЛЬНА, будинок 5;;73e6b489-11b7-e611-8114-000d3a204dc8;4621510100;15800627;
1010090;Черкаська;Уманський;;м.;Умань;Індустріальна;вулиця;14А;20301;delivery;;13/12 від 14.12.2016;41032657;20301, Черкаська обл., місто Умань, ВУЛИЦЯ ІНДУСТРІАЛЬНА, будинок 14А;;;7110800000;15800631;
1010091;Волинська;Ратнівський;;смт.;Ратне;1-го Травня;вулиця;34;27500;delivery;;13/12 від 14.12.2016;41032662;44101, Волинська обл., Ратнівський район, селище міського типу Ратне, ВУЛИЦЯ 1-ГО ТРАВНЯ, будинок 34;;97c73d84-948e-e511-8e46-000d3a200160;0724255100;15800624;
1010092;Закарпатська;;;м.;Мукачево;АКАДЕМІКА МОРОЗОВА;вулиця;20;89611;delivery;;13/12 від 14.12.2016;41032683;89611, Закарпатська обл., місто Мукачево, ВУЛИЦЯ АКАДЕМІКА МОРОЗОВА, будинок 20;;664d80b9-5670-e211-9ce1-00155d012a15;2110400000;15800633;
1010093;Хмельницька;Волочиський;;м.;Волочиськ;Олександра Довженка;вулиця;2-Ж;31202;delivery;;13/12 від 14.12.2016;41032699;31202, Хмельницька обл., Волочиський район, місто Волочиськ, ВУЛИЦЯ ОЛЕКСАНДРА ДОВЖЕНКА, будинок 2-Ж;;72be882c-f446-e811-815e-000d3a20e396;6820910100;15800628;
1010094;Кіровоградська;;Подільський;м.;Кропивницький;Євгена Маланюка;вулиця;11-А;25015;delivery;;13/12 від 14.12.2016;41032704;25015, Кіровоградська обл., м.Кропивницький, Подільський р-н., вул. Євгена Маланюка, 11-А;Рогатин;;3510136600;15800634;
1010095;Миколаївська;;;м.;Южноукраїнськ;Дружби народів;вулиця;5/5;55001;delivery;;13/12 від 14.12.2016;41032712;55001, Миколаївська обл., місто Южноукраїнськ, ВУЛИЦЯ ДРУЖБИ НАРОДІВ, будинок 5/5;;;4810800000;15800635;
1010096;Луганська;Станично-Луганський;;смт.;Станиця Луганська;БУКАЄВА;вулиця;53;93600;delivery;;13/12 від 14.12.2016;41032725;93600, Луганська обл., Станично-Луганський район, селище міського типу Станиця Луганська, ВУЛИЦЯ БУКАЄВА, будинок 53;;;4424855100;15800632;
1010097;Запорізька;Токмацький;;м.;Токмак;Карла Лібкнехта;вулиця;103;71701;delivery;;13/12 від 14.12.2016;41032730;71701, Запорізька обл., місто Токмак, ВУЛИЦЯ КАРЛА ЛІБКНЕХТА, будинок 103;;;2311000000;15800626;
1010098;Запорізька;;;м.;Запоріжжя;Істоміна;вулиця;6;69089;delivery;;13/12 від 14.12.2016;41032746;69089, Запорізька обл., місто Запоріжжя, Дніпровський район, ВУЛИЦЯ ІСТОМІНА, будинок 6;;;2310136900;15800636;
1010099;Чернігівська;Ніжинський;;м.;Ніжин;Генерала Корчагіна;вулиця;2;16610;delivery;;13/12 від 14.12.2016;41032751;16610, Чернігівська обл., місто Ніжин, ВУЛИЦЯ ГЕНЕРАЛА КОРЧАГІНА, будинок 2;;;7410400000;15800619;
1010100;Сумська;Конотопський;;м.;Конотоп;Садова;вулиця;16;41600;delivery;;13/12 від 14.12.2016;41032767;41600, Сумська обл., місто Конотоп, ВУЛИЦЯ САДОВА, будинок 16;;;5910400000;15800618;
1010101;Полтавська;;;м.;Горішні Плавні;Строна;вулиця;1;39801;delivery;;13/12 від 14.12.2016;41032772;39801, Полтавська обл., місто Горішні Плавні, ВУЛИЦЯ СТРОНА, будинок 1;;;5310200000;15800621;
1010102;Вінницька;;;м.;Жмеринка;Київська;вулиця;18;23100;delivery;;13/12 від 14.12.2016;41032788;23100, Вінницька обл., місто Жмеринка, ВУЛИЦЯ КИЇВСЬКА, будинок 18;;B1A7D4E0-FA42-E411-B358-000D3A200936;0510300000;15800617;
