Серійний номер; Активність
13301761;true
13301771;true
13301781;true
13301791;true
13301801;true
13301811;true
13301821;true
13301831;true
13301841;true
13301851;true
13301861;true
13301871;true
13301881;true
13301891;true
13301901;true
13301911;true
13301921;true
13301931;true
13301941;true
13301951;true
13301961;true
13301971;true
13301981;true
13301991;true
13302001;true
13302011;true
13302021;true
13302031;true
13302041;true
13302051;true
13302061;true
13302081;true
13302091;true
13302111;true
13302121;true
13302131;true
13302141;true
13302151;true
13302161;true
13302171;true
13302181;true
13302191;true
13302201;true
13302221;true
13302231;true
13302241;true
13302251;true
13302261;true
13302271;true
13302281;true
13302291;true
13302301;true
13302311;true
13302321;true
13302331;true
13302341;true
13302351;true
13302361;true
13302371;true
13302381;true
13302391;true
13302401;true
13302411;true
13302421;true
13302441;true
13302451;true
13302461;true
13302471;true
13302481;true
13302491;true
13302501;true
13302511;true
13302521;true
13302531;true
13302541;true
13302551;true
13302561;true
13302581;true
13302591;true
13302601;true
13302611;true
13302621;true
13302631;true
13302641;true
13302651;true
13302661;true
13302671;true
13302681;true
13302691;true
13302701;true
13302711;true
13302721;true
13302731;true
13302741;true
13302751;true
13302761;true
13302771;true
13302781;true
13302791;true
13302801;true
13302811;true
13302821;true
13302831;true
13302841;true
13302851;true
13302861;true
13302871;true
13302881;true
13302891;true
13302911;true
13302921;true
13302931;true
13302941;true
13302951;true
13302961;true
13302971;true
13302981;true
13302991;true
13303001;true
13303011;true
13303021;true
13303031;true
13303041;true
13303051;true
13303061;true
13303071;true
13303081;true
13303091;true
13303101;true
13303121;true
13303131;true
13303141;true
13303151;true
13303161;true
13303171;true
13303181;true
13303191;true
13303201;true
13303211;true
13303221;true
13303241;true
13303251;true
13303261;true
13303271;true
13303281;true
13303291;true
13303301;true
13303311;true
13303331;true
13303341;true
13303351;true
13303361;true
13303371;true
13303381;true
13303391;true
13303411;true
13303421;true
13303431;true
13303441;true
13303451;true
13303461;true
13303471;true
13303481;true
13303501;true
13303511;true
13303521;true
13303531;true
13303551;true
13303561;true
13303571;true
;7100102556
13303581;true
13303591;true
13303601;true
13303611;true
13303621;true
13303641;true
13303651;true
13303671;true
13303681;true
13303691;true
13303701;true
13303711;true
13303721;true
13303731;true
13303751;true
13303771;true
13303781;true
13303791;true
13303811;true
13303821;true
13303831;true
13303841;true
13303851;true
13303861;true
13303871;true
13303881;true
13303891;true
13303901;true
13303911;true
13303921;true
13303931;true
13303941;true
13303951;true
13303961;true
13303971;true
13303981;true
13303991;true
13304011;true
13304021;true
13304041;true
13304051;true
13304061;true
13304071;true
13304081;true
13304091;true
13304101;true
13304111;true
13304121;true
13304131;true
13304151;true
13304161;true
13304181;true
13304191;true
13304211;true
13304221;true
13304231;true
13304241;true
13304251;true
13304261;true
13304291;true
13304311;true
13304321;true
13304341;true
13304351;true
13304361;true
13304371;true
13304391;true
13304401;true
13304411;true
13304421;true
13304431;true
13304451;true
13304461;true
13304481;true
13304491;true
13304501;true
13304511;true
13304521;true
13304531;true
13304551;true
13304561;true
13304571;true
13304581;true
13304591;true
13304601;true
13304611;true
13304621;true
13304631;true
13304641;true
13304651;true
13304661;true
13304671;true
13304681;true
13304691;true
13304701;true
13304711;true
13304721;true
13304741;true
13304751;true
13304771;true
13304781;true
13304791;true
13304801;true
13304811;true
13304831;true
13304841;true
13304861;true
13304871;true
13304881;true
13304891;true
13304901;true
13304911;true
13304921;true
13304931;true
13304941;true
13304951;true
13304961;true
13304971;true
13304981;true
13305001;true
13305011;true
13305021;true
13305031;true
13305041;true
13305051;true
13305061;true
13305071;true
13305081;true
13305091;true
13305101;true
13305111;true
13305121;true
13305131;true
13305151;true
13305161;true
13305171;true
13305191;true
13305201;true
13305211;true
13305231;true
13305241;true
13305281;true
13305282;true
13305321;true
13305331;true
13305341;true
13305351;true
13305361;true
13305371;true
13305381;true
13305391;true
13305401;true
13305411;true
13305421;true
13305431;true
13305451;true
13305461;true
13305471;true
13305481;true
13305491;true
13305501;true
13305521;true
13305531;true
13305541;true
13305551;true
13305571;true
13305581;true
13305591;true
13305601;true
13305621;true
13305631;true
13305641;true
13305651;true
13305661;true
13305671;true
13305681;true
13305691;true
13305701;true
13305711;true
13305721;true
13305731;true
13305751;true
13305761;true
13305771;true
13305781;true
13305791;true
13305801;true
13305811;true
13305821;true
13305831;true
13305841;true
13305851;true
13305861;true
13305871;true
13305881;true
13305891;true
13305901;true
13305911;true
13305921;true
13305931;true
13305941;true
13305951;true
13305961;true
13305971;true
13305981;true
13305991;true
13306001;true
13306011;true
13306021;true
13306031;true
13306041;true
13306051;true
13306061;true
13500001;true
13700001;true
13800001;true
13900001;true
14000001;true
14200001;true
14300001;true
14300011;true
14300012;true
14300013;true
14300014;true
14300015;true
14300016;true
14300021;true
14300022;true
14400001;true
14600001;true
14700001;true
14800001;true
14900011;true
15000011;true
15100011;true
15200011;true
15300011;true
15400011;true
15500011;true
15700001;true
15900011;true
16000011;true
16100011;true
16200011;true
16500011;true
16800011;true
16900011;true
17000011;true
17000021;true
17000031;true
17000041;true
17000051;true
17000061;true
17000071;true
17000081;true
17000091;true
17000101;true
17000111;true
17000121;true
17000131;true
17000141;true
17000151;true
17000161;true
17000171;true
17000181;true
17000191;true
17000201;true
17000211;true
17000221;true
17000231;true
17000241;true
17000251;true
17000261;true
17000271;true
17000281;true
17000291;true
17000301;true
17000311;true
17000321;true
17000331;true
17000341;true
17000351;true
17000361;true
17000371;true
17000381;true
17000391;true
17000401;true
17000411;true
17000421;true
17000431;true
17000441;true
17000451;true
17000461;true
17000471;true
17000481;true
17000491;true
17000501;true
17000511;true
17000521;true
17000531;true
17000541;true
17000551;true
17000561;true
17000571;true
17000581;true
17000591;true
17000601;true
17000611;true
17000621;true
17000631;true
17000641;true
17000651;true
17000661;true
17000671;true
17000681;true
17000691;true
17100001;true
17200001;true
17300001;true
17400001;true
17500011;true
17600012;true
17600021;true
17600022;true
17600031;true
17600032;true
17600041;true
17600051;true
17600052;true
17600061;true
17600062;true
17600071;true
17600072;true
17600081;true
17600082;true
17600091;true
17600092;true
17600101;true
17600102;true
17600111;true
17600112;true
17600121;true
17600122;true
17600131;true
17600132;true
17600141;true
17600142;true
17600151;true
17600152;true
17600161;true
17600162;true
17600181;true
17600182;true
17600191;true
17600192;true
17600211;true
17600212;true
17600221;true
17600231;true
17600232;true
17600241;true
17600242;true
17600251;true
17600261;true
17600271;true
17600272;true
17600281;true
17600291;true
17600301;true
17600311;true
17600312;true
17600321;true
17600331;true
17600341;true
17600351;true
17600361;true
17600362;true
17600371;true
17600381;true
17600391;true
17600401;true
17600402;true
17600411;true
17600412;true
17600421;true
17600422;true
17600431;true
17600441;true
17600442;true
17600451;true
17600452;true
17600461;true
17600462;true
17600471;true
17600472;true
17600481;true
17600482;true
17600501;true
17600511;true
17600521;true
17600531;true
17600541;true
17600551;true
17600561;true
17600571;true
17600581;true
17600591;true
17600601;true
17600611;true
17600621;true
17600622;true
17600631;true
17600632;true
17600641;true
17600642;true
17600643;true
17600644;true
17600645;true
17600646;true
17600647;true
17600648;true
17600649;true
17600650;true
17600651;true
17600652;true
17600653;true
17600654;true
17600655;true
17600656;true
17600657;true
17600658;true
17600659;true
17600660;true
17600661;true
17600662;true
17600663;true
17600664;true
17600665;true
17600666;true
17600667;true
17600668;true
17600669;true
17600670;true
17600671;true
17600672;true
17600673;true
17600674;true
17600675;true
17600676;true
17600677;true
17600678;true
17600679;true
17600680;true
17600681;true
17600682;true
17600683;true
17600684;true
17600685;true
17600686;true
17600687;true
17600688;true
17600689;true
17600690;true
17600691;true
17600692;true
17600693;true
17600694;true
17600695;true
17600696;true
17600697;true
17600698;true
17600699;true
17600700;true
17600701;true
17600702;true
17600703;true
17600704;true
17600705;true
17700011;true
17800011;true
17900011;true
18000011;true
18200011;true
18300001;true
18400001;true
18500001;true
18600001;true
18700001;true
18800001;true
18900001;true
БЦ «Ступені», корп. 2;18900001
18900011;true
18900021;true
18900031;true
18900041;true
18900081;true
18900131;true
18900141;true
18900151;true
18900201;true
18900511;true
18900521;true
18900551;true
18900571;true
18900581;true
18900591;true
18900611;true
18900621;true
18900631;true
18900641;true
18900651;true
18900661;true
18900671;true
18900691;true
18900701;true
18900741;true
18900751;true
18900781;true
18900791;true
18900801;true
18900811;true
18900821;true
18900831;true
18900861;true
18900881;true
18900941;true
18900971;true
18900981;true
18901001;true
18901021;true
18901101;true
18901181;true
18901211;true
18901271;true
18901361;true
18901381;true
18901511;true
18901521;true
18901541;true
18901561;true
18901571;true
18901591;true
18902091;true
18902141;true
18902151;true
19200001;true
19300001;true
19400001;true
19600001;true
19700001;true
19800001;true
19900001;true
20000001;true
20000002;true
20100001;true
20200001;true
20300001;true
20300011;true
20400001;true
20500001;true
20600001;true
20700001;true
20800001;true
20900001;true
21000001;true
21100001;true
21200001;true
50000011;true
50001032;true
50001927;true
50002068;true
50002090;true
50002095;true
50002100;true
50002105;true
50002125;true
50002139;true
50002152;true
50002156;true
50002192;true
50002217;true
50002225;true
50003039;true
50003057;true
50003067;true
50003113;true
50003115;true
50003126;true
50003148;true
50003187;true
50003191;true
50004050;true
50004086;true
50004108;true
50004111;true
50004112;true
50004116;true
50004119;true
50004123;true
50004128;true
50004136;true
50004208;true
50004214;true
50007201;true
50007301;true
50007403;true
50007405;true
50007801;true
50008001;true
50008138;true
50008150;true
50008156;true
50008202;true
50008203;true
50008205;true
50008292;true
50008400;true
50008601;true
50008606;true
50008703;true
50008746;true
50009001;true
50009107;true
50009112;true
50009113;true
50009117;true
50009119;true
50009501;true
50009701;true
50009801;true
50010001;true
50010002;true
50010003;true
50010004;true
50010014;true
50010020;true
50010029;true
50010031;true
50011101;true
50012501;true
50013201;true
50013301;true
50014029;true
50014032;true
50014035;true
50015300;true
50015600;true
50016400;true
50016604;true
50016608;true
50017507;true
50017510;true
50018001;true
50018021;true
50018028;true
50019003;true
50020001;true
50020302;true
50020702;true
50021001;true
50021032;true
50021050;true
50022100;true
50022800;true
50024321;true
50025001;true
50025009;true
50025011;true
50025014;true
50026500;true
50027100;true
50027200;true
50027500;true
50028000;true
50028009;true
50029007;true
50029008;true
50029013;true
50029016;true
50029017;true
50029027;true
50030300;true
50030501;true
50031100;true
50032200;true
50033016;true
50033023;true
50033024;true
50033027;true
50034503;true
50034600;true
50035000;true
50035500;true
50035800;true
50036007;true
50036040;true
50037300;true
50037502;true
50039601;true
50039610;true
50039625;true
50040004;true
50040007;true
50040014;true
50040035;true
50041100;true
50041615;true
50042000;true
50042703;true
50043005;true
50043024;true
50043026;true
50044501;true
50045001;true
50045008;true
50046007;true
50046011;true
50046020;true
50046024;true
50046027;true
50047003;true
50047302;true
50048101;true
50048501;true
50049008;true
50049033;true
50049040;true
50049041;true
50049064;true
50049080;true
50049081;true
50049087;true
50049098;true
50049125;true
50049130;true
50050002;true
50050026;true
50050027;true
50050036;true
50050042;true
50050086;true
50050089;true
50050102;true
50051404;true
50051413;true
50051500;true
50051700;true
50051909;true
50051917;true
50051928;true
50051931;true
50051938;true
50052210;true
50052500;true
50053200;true
50053201;true
50053219;true
50053303;true
50053600;true
50054003;true
50054031;true
50054050;true
50054052;true
50054058;true
50055001;true
50056101;true
50058008;true
50058018;true
50059200;true
50060100;true
50061001;true
50061002;true
50061003;true
50061007;true
50061011;true
50061013;true
50061072;true
50061091;true
50061099;true
50061105;true
50061124;true
50061135;true
50061140;true
50061145;true
50061206;true
50062103;true
50062303;true
50063301;true
50063503;true
50063701;true
50063734;true
50064102;true
50064207;true
50064303;true
50064604;true
50065005;true
50065016;true
50065023;true
50065025;true
50065069;true
50065111;true
50065481;true
50066302;true
50067400;true
50068001;true
50068003;true
50068702;true
50069005;true
50069006;true
50069035;true
50069068;true
50069093;true
50069095;true
50069096;true
50069097;true
50069098;true
50069104;true
50069123;true
50070608;true
50071103;true
50071118;true
50071503;true
50071601;true
50072102;true
50072309;true
50072312;true
50072318;true
50072319;true
50073003;true
50073020;true
50073025;true
50073028;true
50073034;true
50073039;true
50074800;true
50074900;true
50075000;true
50075100;true
50075500;true
50075600;true
50075700;true
50076006;true
50076008;true
50076019;true
50077111;true
50077503;true
50078103;true
50078208;true
50078601;true
50078701;true
50079005;true
50079008;true
50079037;true
50079049;true
50079052;true
50079070;true
50080300;true
50080400;true
50080700;true
50081400;true
50081500;true
50081652;true
50082100;true
50082107;true
50082172;true
50082300;true
50082408;true
50084109;true
50084122;true
50084205;true
50084302;true
50084307;true
50084313;true
50084331;true
50084401;true
50084506;true
50084510;true
50085001;true
50085013;true
50085113;true
50085114;true
50085302;true
50085307;true
50085323;true
50085612;true
50085700;true
50087516;true
50087524;true
50087541;true
50087548;true
50087554;true
50087557;true
50088006;true
50088017;true
50089300;true
50089607;true
50090100;true
50090202;true
50090300;true
50090400;true
50090500;true
50090600;true
50092601;true
50092704;true
50093012;true
50093100;true
50093105;true
50093106;true
50093120;true
50093404;true
50093500;true
50093600;true
50500000;true
50700000;true
51200000;true
51400000;true
51800000;true
52100000;true
52300000;true
52600000;true
53220000;true
53500000;true
54400000;true
54600000;true
54800000;true
55100000;true
55300000;true
55600000;true
55900000;true
56100000;true
56300000;true
56500000;true
56800000;true
57100000;true
57300000;true
57400000;true
57400001;true
57400002;true
57400003;true
57400004;true
57400005;true
57400006;true
57400007;true
57400008;true
57400009;true
57400010;true
57400011;true
58000000;true
80000011;true
123123123;true
167000113;true
167000114;true
167000115;true
167000116;true
167000117;true
358612000;true
574000011;true
574000021;true
574000031;true
574000041;true
574000051;true
574000061;true
574000071;true
574000081;true
574000091;true
574000101;true
574000111;true
1111000111;true
1111000112;true
1111000113;true
